"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),2007 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent),,,,,
"Catawba Nuclear Station, Unit 2",Catawba 2,05000414,"York, SC (18 MI S of Charlotte, NC)",2,"Duke Energy Carolinas, LLC",PWR-ICECND,WEST 4LP,DUKE,DUKE,8/7/75,5/15/86,8/19/86,12/5/03,12/5/43,3411,,92%,101%,92%,90%,103%,84%,,102%,89%,94%,,,,,
"Clinton Power Station, Unit 1",Clinton,05000461,"Clinton, IL (23 MI SSE of Bloomington, IL)",3,"Exelon Generation Co., LLC",BWR-MARK 3,GE 6,S&L,BALD,2/24/76,4/17/87,11/24/87,N/A,9/29/26,3473,,100%,93%,92%,97%,99%,101%,,94%,88%,97%,,,,,
"Columbia Generating Station, Unit 2",Columbia Generating Station,05000397,"Richland, WA (20 MI NNE of Pasco, WA)",4,Energy Northwest,BWR-MARK 2,GE 5,B&R,BECH,3/19/73,4/13/84,12/13/84,5/22/12,12/20/23,3486,,97%,50%,95%,67%,93%,82%,,83%,91%,79%,,,,,
"Comanche Peak Steam Electric Station, Unit 1",Comanche Peak 1,05000445,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Luminant Generation Co., LLC",PWR-DRYAMB,WEST 4LP,G&H,BRRT,12/19/74,4/17/90,8/13/90,N/A,2/8/30,3612,,98%,91%,91%,100%,96%,85%,,92%,90%,101%,,,,,
"Comanche Peak Steam Electric Station, Unit 2",Comanche Peak 2,05000446,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,"Luminant Generation Co., LLC",PWR-DRYAMB,WEST 4LP,BECH,BRRT,12/19/74,4/6/93,8/3/93,N/A,2/2/33,3612,,91%,92%,104%,94%,95%,102%,,92%,99%,83%,,,,,
Cooper Nuclear Station ,Cooper,05000298,"Brownville, NE (23 MI S of Nebraska City,  NE)",4,Nebraska Public Power District,BWR-MARK 1,GE 4,B&R,B&R,6/4/68,1/18/74,7/1/74,11/29/10,1/18/34,2419,,87%,86%,100%,72%,90%,100%,,89%,93%,68%,,,,,
"Davis-Besse Nuclear Power Station, Unit 1",Davis-Besse,05000346,"Oak Harbor, OH (21 MI ESE of Toledo,  OH)",3,First Energy Nuclear Operating Co.,PWR-DRYAMB,B&W LLP,BECH,B&W,3/24/71,4/22/77,7/31/78,N/A,4/22/17,2817,,91%,81%,66%,99%,97%,99%,,94%,75%,-1%,,,,,
"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,05000275,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,4/23/68,11/2/84,5/7/85,N/A,11/2/24,3411,,84%,100%,88%,84%,98%,90%,,87%,76%,101%,,,,,
"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,05000323,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,Pacific Gas & Electric Co.,PWR-DRYAMB,WEST 4LP,PG&E,PG&E,12/9/70,8/26/85,3/13/86,N/A,8/26/25,3411,,97%,89%,100%,84%,74%,99%,,99%,84%,81%,,,,,
"Donald C. Cook Nuclear Power Plant, Unit 1",D.C. Cook 1,05000315,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,Indiana Michigan Power Co.,PWR-ICECND,WEST 4LP,AEP,AEP,3/25/69,10/25/74,8/28/75,8/30/05,10/25/34,3304,,104%,87%,88%,3%,64%,103%,,91%,99%,74%,,,,,
