OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION
45,TRINITY,TRINITY,140.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1 = 70,  2 = 70",12/1/64,REDDING,CA,96003,TRINITY RIVER,"TRINITY RIVER, CLAIR ENGLE LAKE",USBR,583.1295166
48,CEDAR FLAT,TRINITY,0.30,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/9/84,BURNT RANCH,CA,95527,,"CEDER FLAT CREEK, MILL CREEK, TRINITY RIVER",BC HYDRO INC,306.7706299
55,LEWISTON,TRINITY,0.35,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/64,FRENCH GULCH,CA,96003,TRINITY RIVER,TRINITY RIVER,USBR,584.8352051
56,SHASTA,SHASTA,629.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=125, 2=125, 3=142, 4=142, 5=142",6/1/44,REDDING,CA,96003,SHASTA DAM,"SACRAMENTO RIVER, LAKE SHASTA",USBR,188.3874207
58,T&G,SHASTA,0.34,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,10/15/84,WHITMORE,CA,96062,,"CANYON CREEK, OLD COW CREEK",T & G HYDRO,923.8295898
60,KILARC,SHASTA,3.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 - #2 = /1.5,10/1/03,WHITMORE,CA,96096,WHITMORE,"OLD COW CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,791.1243896
62,OLSEN POWER,SHASTA,5.00,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/3/90,WHITMORE,CA,96062,SACRAMENTO RIVER,"OLD COW CREEK, COW CREEK, SACRAMENTO RIVER",OLSEN POWER PTNS,722.8634033
63,KNAUF INSULATION,SHASTA,15.00,OIL/GAS,OIL/GAS,NATURAL GAS,,OPERATIONAL,,1/1/02,SHASTA LAKE,CA,96019,,,,220.7573853
65,JUDGE FRANCIS CARR,SHASTA,154.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=77.24, 2=77.2",5/1/63,LEWISTON,CA,96052,SHASTA BALLY,TRINITY RIVER DIVERSION TO SACRAMENTO RIVER,USBR,373.2532959
66,SPRING CREEK,SHASTA,180.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=90, 2=90",1/1/63,REDDING,CA,96003,SHASTA BALLY,CLEAR CREEK AND TRINITY RIVER DIVERSION TO SACRAMENTO RIVER,USBR,191.1219788
67,KESWICK,SHASTA,117.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=39, 2=39, 3=49",1/1/49,REDDING,CA,96003,SHASTA BALLY,SACRAMENTO RIVER,USBR,149.8887482
68,WHISKEYTOWN,SHASTA,3.50,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/1/86,REDDING,CA,96003,CLEAR CREEK,"CLEAR CREEK, SACRAMENTO RIVER, WHISKEYTOWN LAKE",CITY OF REDDING,311.7918701
69,COW CREEK,SHASTA,1.44,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=.72, 2=.72",8/1/07,MILLVILLE,CA,96062,COW CREEK,"SAN FRANCISCO COW CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,251.6673279
71,STEVE & BONNIE TETRICK,SHASTA,0.10,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,10/14/83,MILLVILLE,CA,96062,SACRAMENTO RIVER,"SOUTH COW CREEK, SACRAMENTO RIVER",WEBB MORROW,231.8847351
72,BEAR CREEK,SHASTA,3.20,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/15/86,SHINGLETOWN,CA,96088,,SOUTH FORK BEAR CREEK,TKO POWER INC,1239.4315186
73,BAKER CREEK,HUMBOLDT,1.50,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/10/87,BRIDGEVILLE,CA,95526,BAKER CREEK,"BAKER CREEK, VAN DUZEN RIVER",ALBERT HUNT & BAKER STATON ASSOCIATION,376.8437195
75,REDDING POWER,SHASTA,141.00,OIL/GAS,OIL/GAS,NATURAL GAS,"STEAM TURBINE, COMBUSTION TURBINE",OPERATIONAL,"1= 30, 2 & 3 =24, 4=16, 5 = 43, 6 = 28",6/1/91,REDDING,CA,96001,,,,158.9335175
81,VOLTA 1,SHASTA,8.55,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,4/1/80,MANTON,CA,96059,WHITMORE,"MILLSEAT CREEK, NORTH FORK BATTLE CREEK",PACIFIC GAS & ELECTRIC,680.6414185
82,SUTTER'S MILL,SHASTA,0.15,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,6/26/85,SHINGLETOWN,CA,96088,,"MILLSEAT CREEK, NORTH FORK BATTLE CREEK","FRED N. SUTTER, JR.",664.7063599
85,VOLTA 2,SHASTA,1.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,10/1/81,MANTON,CA,96059,WHITMORE,"CROSS COUNTRY CANAL, NORTH FORK BATTLE CREEK",PACIFIC GAS & ELECTRIC,635.9015503
94,COLEMAN,SHASTA,13.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,6/19/79,ANDERSON,CA,96022,BATTLE CREEK,"BATTLE CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,144.4176788
95,INSKIP,TEHAMA,7.65,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = 8,10/1/79,PAYNES CREEK,CA,96075,BATTLE CREEK,SOUTH FORK BATTLE CREEK,PACIFIC GAS & ELECTRIC,312.1928101
96,SOUTH,TEHAMA,6.75,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/1/79,MANTON,CA,96059,WHITMORE,SOUTH FORK BATTLE CREEK,PACIFIC GAS & ELECTRIC,440.8562622
100,GOSSELIN,TRINITY,2.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,4/10/83,RUTH,CA,95526,,"MATTHEWS DAM, RUTH LAKE",,780.8793335
103,HAMILTON BRANCH,PLUMAS,4.80,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=2.64, 2=2.75",8/1/21,WESTWOOD,CA,96137,NF FEATHER RIVER,"HAMILTON BROOK, NORTH FORK FEATHER RIVER",PACIFIC GAS & ELECTRIC,1372.8308106
104,THREE FORKS,TRINITY,1.30,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/28/84,ZENIA,CA,95595,EEL RIVER - ROCK CREEK,"BLUEFORD CREEK, EEL RIVER",M&N BURGESS,679.1838379
106,BUTT VALLEY,PLUMAS,40.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/31/58,BELDEN,CA,95956,NF FEATHER RIVER,UPPER NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,1275.3651123
109,WALMART - RED BLUFF,TEHAMA,1.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,,8/31/12,RED BLUFF,CA,96080,,,,72.3631287
111,CARIBOU 2,PLUMAS,120.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=60, 2=60",11/9/58,BELDEN,CA,95956,NF FEATHER RIVER,UPPER NORTH FEATHER RIVER,PACIFIC GAS & ELECTRIC,919.1705322
112,CARIBOU 1,PLUMAS,73.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=24, 2=24, 3=24",6/1/21,BELDEN,CA,95956,NF FEATHER RIVER,UPPER NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,917.2337646
113,KEKAWAKA,TRINITY,4.95,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/27/89,ALDERPOINT,CA,95495,KEKAWAKA CREEK,"KEKAWAKA CREEK, EEL RIVER",STS HYDROPOWER LTD,144.7870178
114,OAK FLAT,PLUMAS,1.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = /1.4,11/1/85,CARIBOU,CA,95915,NORTH FORK FEATHER RIVER,"UPPER NORTH FORK FEATHER RIVER, LAKE ALMANOR",PACIFIC GAS & ELECTRIC,910.8900146
115,FIVE BEARS,PLUMAS,0.99,HYDROELECTRIC,HYDRO,HYDRO,,OPERATIONAL,,4/27/89,TAYLORSVILLE,CA,95983,WARD CREEK,"WARD CREEK, INDIAN CREEK",FIVE BEARS HYDRO INC,1082.5290527
118,BELDEN,PLUMAS,117.90,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/14/69,BELDEN,CA,9556,NF FEATHER RIVER,UPPER NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,700.0681763
119,BUCKS CREEK,PLUMAS,63.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=33, 2=32.5",3/4/28,STORRIE,CA,95980,NF FEATHER RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,678.9428711
121,GRIZZLY,PLUMAS,21.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,11/1/93,QUINCY,CA,95971,NF FEATHER RIVER,"GRIZZLY, BUCKS CREEK",,544.8898315
122,ROCK CREEK,PLUMAS,112.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=57, 2=56.9",2/1/50,STORRIE,CA,95980,FEATHER  RIVER,NORTH FORK FEATHER RIVER,PACIFIC GAS & ELECTRIC,521.7572021
124,TOADTOWN,BUTTE,1.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = /1.8,4/1/86,MAGALIA,CA,95954,BUTTE CREEK,"HENDRICKS CANAL, BUTTE CREEK",PACIFIC GAS & ELECTRIC,849.1858521
125,DE SABLA,BUTTE,18.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/28/63,MAGALIA,CA,95954,FEATHER RIVER,"BUTTE CREEK, SACRAMENTO RIVER",PACIFIC GAS & ELECTRIC,395.4217224
127,MUD CREEK,BUTTE,0.30,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,1/26/83,CHICO,CA,91710,SACRAMENTO RIVER,"MUD CREEK, SACRAMENTO RIVER",PERRY LOGGINGS,171.6243591
