OBJECTID,PLANT_NAME,COUNTY,ONLINE_MW,FACILITY,GENERAL_FUEL,PRIMARY_FUEL,TECHNOLOGY,STATUS,TURBINE_MW,ONLINE_DATE,PLANT_CITY,PLANT_STATE,PLANT_ZIPC,RIVER_SYSTEM,STREAM_NAME,DEVELOPER,ELEVATION
466,DIVISION CREEK,INYO,0.65,HYDROELECTRIC,HYDRO,WATER,"RUN-OF-RIVER, FRANCIS TURBINE",OPERATIONAL,,3/22/09,INDEPENDENCE,CA,93526,OWENS,"OWENS RIVER, DIVISION CREEK",,1336.6914063
468,HAAS,FRESNO,144.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=72, 2=72",12/23/58,FRESNO,CA,93649,KINGS RIVER,NORTH FORK KINGS RIVER,PACIFIC GAS & ELECTRIC,1406.5750732
470,BALCH 2,FRESNO,108.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=54, 2=54",11/26/58,BALCH CAMP,CA,93649,KINGS RIVER,NORTH FORK KINGS RIVER,PACIFIC GAS & ELECTRIC,294.1514893
471,KINGS RIVER,FRESNO,52.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,H1 = 48.6,3/1/62,FRESNO,CA,93725,KINGS RIVER,"NORTH FORK KINGS RIVER, EAST END OF PINE FLAT RES.",PACIFIC GAS & ELECTRIC,294.2817383
472,BALCH 1,FRESNO,34.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/20/27,BALCH CAMP,CA,93649,KINGS RIVER,"NORTH FORK KINGS RIVER, 4 MI EAST OF PINE FLAT RES.",PACIFIC GAS & ELECTRIC,294.3823242
473,MADERA POWER LLC,MADERA,25.00,WTE,BIOMASS,AG & WOODWASTE,STEAM TURBINE,OPERATIONAL,,5/16/01,FIREBAUGH,CA,93622,,,FLUOR DANIELS INC.,49.7239990
474,PINE FLAT,FRESNO,165.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=75, 2=75, 3=75",4/12/84,FRESNO,CA,93725,KINGS RIVER,"KINGS RIVER, PINE FLAT RESERVOIR",KINGS RIVER CONSERVATION DISTRICT,177.2728424
478,SUN HARVEST,FRESNO,0.25,SOLAR,SOLAR,PHOTOVOLTAIC,FIXED TILT GROUND MOUNT,OPERATIONAL,,12/1/07,FRESNO,CA,93727,,,ENXCO,99.2031250
479,CALRENEW-1,FRESNO,5.00,SOLAR,SOLAR,PHOTOVOLTAIC,"SOLAR PANELS, THIN-FILM",OPERATIONAL,,6/2/10,MENDOTA,CA,93640,,,CLEANTECH AMERICA INC.,49.7239990
498,STROUD STATION,FRESNO,20.00,SOLAR,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,,10/4/11,HELM,CA,93624,,,,56.8442116
499,COTTONWOOD,INYO,1.50,HYDROELECTRIC,HYDRO,WATER,"RUN-OF-RIVER, FRANCIS TURBINE",OPERATIONAL,"1=1.8, 2=1",11/13/08,LONE PINE,CA,93545,OWENS,OWENS RIVER,,1156.8104248
500,FIVE POINTS SOLAR STATION,FRESNO,15.00,SOLAR,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,,9/27/11,FIVE POINTS,CA,93624,,,,74.6627960
502,WESTSIDE STATION,FRESNO,15.00,SOLAR,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,,9/13/11,FIVE POINTS,CA,93624,,,,79.5934906
512,"WELLHEAD POWER GATES, LLC",FRESNO,46.50,OIL/GAS,OIL/GAS,NATURAL GAS,,OPERATIONAL,,12/27/01,HURON,CA,93234,,,,132.0170746
513,HAIWEE,INYO,5.60,HYDROELECTRIC,HYDRO,WATER,"RUN-OF-RIVER, FRANCIS TURBINE, OWENS VLY",OPERATIONAL,"1=3.7, 2=2.7",7/18/27,OLANCHA,CA,93549,OWENS,OWENS RIVER,,1092.3747559
524,AVENAL PARK,KINGS,6.00,SOLAR,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,,8/5/11,AVENAL,CA,93204,,,EURUS,230.0812836
525,MONTICELLO,NAPA,11.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=5.5, 2=5.5, 3=1.5",7/1/83,WINTERS,CA,95694,PUTAH CREEK,"PUTAH CREEK, SACRAMENTO RV, MONTICELLO DAM,  LAKE BERRYESSA",SOLANO IRRIGATION DISTRICT,114.6552505
529,LAGUNA PLANT CO-GEN FACILITY,SONOMA,2.70,OIL/GAS,OIL/GAS,NATURAL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,"#1=.9, #2=.9, #3=.9",1/1/02,SANTA ROSA,CA,95407,,,,25.1789169
531,CENTRAL LF (SONOMA) PHASE II,SONOMA,3.20,WTE,LANDFILL GAS,LANDFILL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,"1=.8, 2=.8, 3=.8, 4=.8",6/1/96,PETALUMA,CA,94952,,,,122.8871689
532,CENTRAL LF (SONOMA) PHASE I,SONOMA,3.20,WTE,LANDFILL GAS,LANDFILL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,"1=.8, 2=.8, 3=.8, 4=.8",7/1/93,PETALUMA,CA,94952,,,,120.8032684
538,CREED ENERGY CENTER,SOLANO,48.10,OIL/GAS,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,,1/6/03,SUISUN CITY,CA,94585,,,,11.2426548
539,ANHEUSER-BUSCH,SOLANO,1.50,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,,11/1/11,FAIRFIELD,CA,"94534
",,,,10.0048046
544,SHILOH I,SOLANO,150.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,,3/1/06,MONTEZUMA HILLS,CA,94535,,,,45.6497726
547,"SMUD - SOLANO, PHASE 2B",SOLANO,24.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,1.14,12/1/07,RIO VISTA,CA,94512,,,,59.0325737
548,"SMUD - SOLANO, PHASE 1",SOLANO,63.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,2.74,1/1/04,RIO VISTA,CA,94512,,,,56.1405067
550,VALERO UNIT 1,SOLANO,51.00,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, BROWN FIELD",OPERATIONAL,,10/18/02,BENICIA,CA,94510,,,,22.7473812
557,PITTSBURG,CONTRA COSTA,1370.00,OIL/GAS,OIL/GAS,NATURAL GAS,STEAM TURBINE,OPERATIONAL,"5=325, 6=325, 7=720",7/1/54,PITTSBURG,CA,94565,,,,1.5649585
568,CONTRA COSTA,CONTRA COSTA,680.00,OIL/GAS,OIL/GAS,NATURAL GAS,"STEAM TURBINE, SYNCHRONOUS CONDENSOR",OPERATIONAL,"6=337, 7=337",1/1/64,ANTIOCH,CA,94509,,,,1.5248041
571,DELTA ENERGY CENTER,CONTRA COSTA,860.20,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, STEAM, HEAT RECOVERY",OPERATIONAL,,6/17/02,PITTSBURG,CA,94565,,,CALPINE & BECHTEL,6.0714440
573,MARSH LANDING,CONTRA COSTA,828.00,OIL/GAS,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,,5/1/13,ANTIOCH,CA,94509,,,,3.9357481
574,GATEWAY GEN. STATION,CONTRA COSTA,530.00,OIL/GAS,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,,1/4/09,ANTIOCH,CA,94509,,,,3.7444239
582,AMERESCO KELLER CANYON,CONTRA COSTA,3.80,WTE,LANDFILL GAS,LANDFILL GAS,LANDFILL GAS,OPERATIONAL,,9/1/09,PITTSBURG,CA,94565,,,,124.9294434
587,WEST CONTRA COSTA,CONTRA COSTA,2.00,WTE,LANDFILL GAS,LANDFILL GAS,LANDFILL GAS,OPERATIONAL,,1/1/09,RICHMOND,CA,94801,,,,1.7197832
588,PORT OF STOCKTON DISTRICT ENERGY FACILITY,SAN JOAQUIN,50.60,WTE,BIOMASS,BIOMASS,STEAM TURBINE,OPERATIONAL,,1/1/87,STOCKTON,CA,95203,"SAN JOAQUIN DELTA
SAN JOAQUIN DELTA
SAN JOAQUIN DELTA
",,,3.3578899
595,WOODWARD,STANISLAUS,2.85,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,4/16/82,OAKDALE,CA,95361,SAN JOAQUIN VALLEY FLOOR,"SIMMONS CREEK, STANISLAUS RIVER",SOUTH SAN JOAQUIN IRRIGATION DISTRICT,53.1228371
597,ROBERT O. SCHULZ SOLAR FARM,SAN JOAQUIN,1.40,SOLAR,SOLAR,PHOTOVOLTAIC,SINGLE AXIS SOLAR TRACKING,OPERATIONAL,,4/1/09,MANTECA,CA,95336,,,CONERGY AMERICAS,56.7757530
598,FRANKENHEIMER,STANISLAUS,5.04,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,2/12/83,OAKDALE,CA,95361,SAN JOAQUIN RIVER,"SOUTH SAN JOAQUIN RIVER, MAIN CANAL, STANISLAUS RIVER",SOUTH SAN JOAQUIN IRRIGATION DISTRICT,74.4195557
601,EBMUD - ANAEROBIC DIGESTION,ALAMEDA,4.60,WTE,DIGESTER GAS,DIGESTER GAS,DIGESTER GAS,OPERATIONAL,,6/30/12,OAKLAND,CA,94607,,,,2.3365254
628,VASCO WIND ENERGY CENTER,CONTRA COSTA,78.20,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,2.3,2/10/11,LIVERMORE,CA,94551,,,"VASCO WINDS, LLC",397.4862671
629,ALAMEDA,ALAMEDA,49.90,OIL/GAS,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE,OPERATIONAL,"1=23.8, 2=25.4",1/1/86,OAKLAND,CA,94607,,,,3.0654998
640,VASCO ROAD LF,ALAMEDA,7.40,WTE,LANDFILL GAS,LANDFILL GAS,,OPERATIONAL,,1/1/96,LIVERMORE,CA,94550,,,,220.5138855
641,"RE SFCITY1, LP",SAN FRANCISCO,4.50,SOLAR,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,,10/29/10,SAN FRANCISCO,CA,94122,,,DUKE ENERGY RENEWABLES,115.6260910
642,DIFWIND VII,ALAMEDA,24.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,0.12,1/1/87,TRACY,CA,95391,,,ENXCO,298.5429993
657,DIFWIND IX,ALAMEDA,18.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,,1/1/11,LIVERMORE,CA,94550,,,ENXCO,307.4861145
660,PATTERSON,ALAMEDA,21.80,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,,4/2/85,LIVERMORE,CA,94550,,,ENXCO,327.7890015
661,SOUTHEAST DIGESTER GAS COGEN,SAN FRANCISCO,2.00,WTE,DIGESTER GAS,DIGESTER GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,,7/1/02,SAN FRANCISCO,CA,94124,,,,6.6472549
926,SF FUEL CELL STATION,SAN FRANCISCO,1.60,OIL/GAS,OIL/GAS,NATURAL GAS,HYDROGEN FUEL CELL,OPERATIONAL,,9/27/11,SAN FRANCISCO,CA,94132,,,,32.8029823
929,LA GRANGE,STANISLAUS,4.20,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"#1 = 1.2 / 1.2
#2 = 3.4 / 3.4",1/1/24,LA GRANGE,CA,95329,TUOLOMNE RIVER,"SAN JOAQUIN RIVER, LA GRANGE RESERVOIR",,66.5535202
930,WTP NO.  2 SUPPLY LINE,ALAMEDA,1.25,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,5/1/93,FREMONT,CA,94538,,SOUTH BAY AQUEDUCT,ALAMEDA COUNTY WATER DIST.,191.8234558
931,DAWSON LAKE,TUOLUMNE,4.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,11/1/83,LA GRANGE,CA,95329,TUOLUMNE RIVER,"MAIN CANAL,  TUOLUMNE RIVER, SAN JOAQUIN",TURLOCK IRRIGATION DISTRICT,91.3742599
932,CSU EAST BAY FUEL CELL STATION,ALAMEDA,1.40,OIL/GAS,OIL/GAS,HYDROGEN,FUEL CELL,OPERATIONAL,,9/27/11,HAYWARD,CA,94542,,,,146.8539276
937,HICKMAN,STANISLAUS,1.08,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/1/79,HICKMAN,CA,95323,SAN JOAQUIN  VALLEY FLOOR,SAN JOAQUIN RIVER,,52.4971161
939,RUSSELL CITY AMENDMENT,ALAMEDA,195.00,OIL/GAS,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,,8/2/13,HAYWARD,CA,94545,,,,2.9591136
942,HAYWARD WASTEWATER SOLAR FACILITY,ALAMEDA,1.00,SOLAR,SOLAR,PHOTOVOLTAIC,SOLAR ARRAY,OPERATIONAL,,3/9/11,HAYWARD,CA,94545,,,REC SOLAR,2.1996827
943,TURLOCK LAKE,STANISLAUS,3.30,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"#1 = 1.1 / .63
#2 = 1.1 / .63
#3 = 1.1 / .63",7/1/80,TURLOCK,CA,95323,SAN JOAQUIN VALLEY FLOOR,SAN JOAQUIN RIVER,,74.1495590
948,ALMOND,STANISLAUS,49.00,OIL/GAS,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,#1 = /49.5,7/22/82,CERES,CA,95326,,,,25.0240517
953,WALNUT,STANISLAUS,48.00,OIL/GAS,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,#1 - #2 = /25.0,5/1/86,TURLOCK,CA,95380,,,,26.3144894
954,WALNUT ENERGY CENTER,STANISLAUS,250.00,OIL/GAS,OIL/GAS,NATURAL GAS,GREEN FIELD,OPERATIONAL,,2/28/06,TURLOCK,CA,95380,,,,26.6284199
956,OX MOUNTAIN LANDFILL,SAN MATEO,11.40,WTE,LANDFILL GAS,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,,7/1/09,HALF MOON BAY,CA,94019,,,,139.9018402
962,BYXBEE PARK SANITARY LF,SANTA CLARA,2.00,WTE,LANDFILL GAS,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,"1= 2, 2=1",4/1/90,PALO ALTO,CA,94303,,,,2.2905211
967,LOS ESTEROS PHASE 2,SANTA CLARA,140.00,OIL/GAS,OIL/GAS,NATURAL GAS,"GAS TURBINE, COMBINED CYCLE",OPERATIONAL,,8/9/13,MOUNTAIN VIEW,CA,95134,,,,5.1052217
972,SUNNYVALE LANDFILL GAS POWER GENERATION FACILITY,SANTA CLARA,1.60,WTE,LANDFILL GAS,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,"1=0.8, 2=0.8",12/31/99,SUNNYVALE,CA,94087,,,,7.5196838
976,DONALD VON RAESFELD CC,SANTA CLARA,147.00,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, STEAM, HEAT RECOVERY",OPERATIONAL,"1=49, 2=49, 3=49",3/24/05,SANTA CLARA,CA,95054,,,,11.0922747
978,CITY OF SANTA CLARA,SANTA CLARA,5.80,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, WASTE HEAT",OPERATIONAL,"#1 = 2.9 / 2.9
#2 = 2.9 / 2.9",6/1/82,SANTA CLARA,CA,95050,,,,14.1314325
982,PORTAL,FRESNO,10.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,12/22/56,BIG CREEK,CA,93605,RANCHERIA CREEK,"RANCHERIA CREEK, BIG CREEK, HUNTINGTON LAKE",SOUTHERN CALIFORNIA EDISON,2118.9392090
984,COX STATION,SANTA CLARA,0.10,HYDROELECTRIC,HYDRO,HYDRO,HYDRO,OPERATIONAL,,11/22/11,SARATOGA,CA,95070,SARATOGA CREEK,,,96.4219589
985,BIG CREEK 8,FRESNO,64.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=25.8, 2=38.7",1/1/21,AUBERRY,CA,93643,SAN JOAQUIN RIVER,"SAN JOAQUIN RIVER, NEAR BIG CREEK",SOUTHERN CALIFORNIA EDISON,679.7731934
986,BIG CREEK 1,FRESNO,82.90,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=21, 2=17, 3=21, 4=31.2",1/1/13,BIG CREEK,CA,93605,SAN JOAQUIN RIVER,"BIG CREEK, SAN JOAQUIN RIVER",SOUTHERN CALIFORNIA EDISON,1473.8278809
987,BIG CREEK 2,FRESNO,67.10,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"3=20, 4=20, 5=16.9, 6=18.8",1/1/13,BIG CREEK,CA,93605,SAN JOAQUIN RIVER,"BIG CREEK, SAN JOAQUIN RIVER",SOUTHERN CALIFORNIA EDISON,927.3299561
988,BIG CREEK 2A,FRESNO,98.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=49.3, 2=49.2",1/1/28,BIG CREEK,CA,93605,SAN JOAQUIN RIVER,"BIG CREEK, SAN JOAQUIN RIVER",SOUTHERN CALIFORNIA EDISON,901.1173706
990,METCALF ENERGY CENTER,SANTA CLARA,565.80,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, STEAM, HEAT RECOVERY",OPERATIONAL,"1=193, 2=193, 3=231",5/27/05,SAN JOSE,CA,95013,,,BECHTEL,77.8193741
992,EASTWOOD,FRESNO,199.00,HYDROELECTRIC,HYDRO,WATER,"PUMPED STORAGE, WATER",OPERATIONAL,,12/1/87,SHAVER LAKE,CA,93664,SAN JOAQUIN RIVER,"SOUTH FORK SAN JOAQUIN RIVER, BALSAM CREEK",SOUTHERN CALIFORNIA EDISON,1909.9029541
993,BIG CREEK 3,FRESNO,177.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=34.5, 2=34.5, 3=34.3, 4=40.5, 5=38.1",1/1/23,AUBERRY,CA,93605,SAN JOAQUIN RIVER,"SAN JOAQUIN RIVER, NEAR BIG CREEK",SOUTHERN CALIFORNIA EDISON,435.5341797
1006,AMERESCO SANTA CRUZ ENERGY,SANTA CRUZ,3.20,WTE,LANDFILL GAS,LANDFILL GAS,RECIPROCATING ENGINE,OPERATIONAL,,2/2/06,WATSONVILLE,CA,95076,,,,8.5858402
1008,MOSS LANDING,MONTEREY,2484.00,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, STEAM, HEAT RECOVERY",OPERATIONAL,"1=510, 2=510, 6=754.33, 7=755.7",7/11/02,MOSS LANDING,CA,95039,,,,9.6195745
1012,MARINA,MONTEREY,5.40,WTE,MSW,MSW,LANDFILL GAS,OPERATIONAL,,12/30/83,MARINA,CA,93933,,,,26.1573048
1016,KAWEAH 3,TULARE,4.80,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=2.4, 2=2.1",5/29/13,THREE RIVERS,CA,93271,KAWEAH RIVER,KAWEAH RIVER,SOUTHERN CALIFORNIA EDISON,423.8028870
1017,KAWEAH 1,TULARE,2.20,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,5/5/29,THREE RIVERS,CA,93237,KAWEAH RIVER,"EAST FORK, KAWEAH RIVER",SOUTHERN CALIFORNIA EDISON,343.0039063
1018,KAWEAH 2,TULARE,1.80,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,9/13/29,THREE RIVERS,CA,93237,KAWEAH RIVER,MIDDLE FORK  KAWEAH RIVER,SOUTHERN CALIFORNIA EDISON,300.9406738
1021,TERMINUS,TULARE,20.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,3/16/90,LEMONCOVE,CA,93274,TERMINUS DAM,KAWEAH RIVER,,217.4875031
1028,NICHOLS FARM,KINGS,1.19,SOLAR,SOLAR,PHOTOVOLTAIC,PHOTOVOLTAIC,OPERATIONAL,,4/6/11,HANFORD,CA,93230,,,SOL ORCHARD & SOLFOCUS,79.6813278
1038,TULE,TULARE,6.40,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,1/1/14,SPRINGVILLE,CA,93265,TULE RIVER,NORTH FORK MIDDLE FORK TULE RIVER,PACIFIC GAS & ELECTRIC,366.9765320
1039,TULE RIVER,TULARE,2.52,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=1.26, 2=1.26",9/14/09,SPRINGVILLE,CA,93265,TULE RIVER,TULE RIVER,,365.6685181
1044,TULARE SUCCESS,TULARE,1.40,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,12/1/89,PORTERVILLE,CA,92357,TULE RIVER,TULE RIVER,LOWER TULE RIVER IRRIGATION DISTRICT,170.3039703
1048,PIXLEY COGEN,TULARE,6.00,OIL/GAS,OIL/GAS,NATURAL GAS,ETHANOL,OPERATIONAL,,1/1/08,PIXLEY,CA,93256,,,,82.8694000
1050,SIERRA POWER CORP.,TULARE,7.00,WTE,BIOMASS,WOODWASTE,STEAM TURBINE,OPERATIONAL,,1/1/85,TERRA BELLA,CA,93270,,,,150.4540253
1051,SUN CITY,KINGS,20.00,SOLAR,SOLAR,PHOTOVOLTAIC,,OPERATIONAL,,8/5/11,AVENAL,CA,93204,,,,222.7089233
1052,SAND DRAG,KINGS,19.00,SOLAR,SOLAR,PHOTOVOLTAIC,,OPERATIONAL,,8/5/11,AVENAL,CA,93204,,,EURUS ENERGY AMERICA CORP.,223.0587616
1054,DANIEL M. BATES,TULARE,0.35,HYDROELECTRIC,HYDRO,HYDRO,RUN-OF-RIVER,OPERATIONAL,,11/22/89,HOT SPRINGS,CA,93207,,"DEER CREEK, TYLER CREEK",,741.6751099
1061,KERN RIVER 3,KERN,36.80,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=18.4, 2=18.4",3/1/21,KERNVILLE,CA,93238,KERN RIVER,NORTH FORK KERN RIVER,SOUTHERN CALIFORNIA EDISON,824.9134521
1065,IVANPAH I,SAN BERNARDINO,133.00,SOLAR,SOLAR,SOLAR,CONCENTRATING THERMAL POWER,OPERATIONAL,133,12/30/13,NIPTION,CA,92364,,,,938.6043091
1067,NACIMIENTO,MONTEREY,4.36,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,7/13/87,BRADLEY,CA,93426,SALINAS RIVER,"NACIMEITO RIVER, SALINAS RIVER",,202.1789093
1070,ISABELLA FISH FLOW,KERN,0.90,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,,7/31/11,LAKE ISABELLA,CA,93240,KERN RIVER,,,805.9396362
1073,MERIDIAN,SAN LUIS OBISPO,1.14,SOLAR,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,,11/29/10,PASO ROBLES,CA,93550,,,GESTAMP ASETYM SOLAR NORTH AMERICA,293.4516296
1075,BOREL,KERN,11.00,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=2.1, 2=2.5, 3=6.4",12/31/04,LAKE ISABELLA,CA,93240,KERN RIVER,"KERN RIVER, NEAR ISABELLA LAKE",SOUTHERN CALIFORNIA EDISON,708.8905640
1076,SEMITROPIC SOLAR,KERN,0.84,SOLAR,SOLAR,PHOTOVOLTAIC,SOLAR PANELS,OPERATIONAL,,1/1/10,LOST HILLS,CA,93249,,,,83.3160095
1078,NORTH GENERATOR,KERN,2.00,OIL/GAS,OIL/GAS,NATURAL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,,9/1/93,BUTTONWILLOW,CA,93206,,,,80.1512604
1079,KIMBERLINA SOLAR THERMAL ENERGY PLANT,KERN,5.00,SOLAR,SOLAR,SOLAR,COMPACT LINEAR FRESNEL REFLECTOR,OPERATIONAL,,3/1/11,BAKERFIELD,CA,93308,,,AUSRA AND AREVA,135.1733398
1080,SEMITROPIC HYDRO,KERN,0.84,HYDROELECTRIC,HYDRO,HYDRO,HYDRO,OPERATIONAL,,1/1/10,LOST HILLS,CA,93249,,,,74.1903610
1081,SOUTH GENERATOR,KERN,2.00,OIL/GAS,OIL/GAS,NATURAL GAS,INTERNAL COMBUSTION ENGINE,OPERATIONAL,,9/1/93,BUTTONWILLOW,CA,93206,,,,82.5582809
1085,SAN LUIS OBISPO,SAN LUIS OBISPO,0.68,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,7/1/85,PASO ROBLES,CA,93446,,"SAN LUIS OBISPO PL, SANTA MARGARITA",CITY OF SAN LUIS OBISPO,240.1374969
1089,KERN RIVER 1,KERN,24.80,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,"1=6.4, 2=6.4, 3=6.4, 4=6.4",5/19/07,BAKERSFIELD,CA,93308,KERN RIVER,KERN RIVER,SOUTHERN CALIFORNIA EDISON,292.9416199
1093,KERN CANYON,KERN,11.50,HYDROELECTRIC,HYDRO,WATER,HYDRO,OPERATIONAL,#1 = 9.5,8/1/21,BAKERSFIELD,CA,93308,KERN RIVER,KERN RIVER,PACIFIC GAS & ELECTRIC,215.6827087
1113,DIFWIND VIII,KERN,15.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,0.15,1/1/87,MOJAVE,CA,93501,,,ENXCO,338.6582642
1114,DIFWIND VI,KERN,27.10,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,0.11,1/1/87,MOJAVE,CA,93501,,,ENXCO,345.2454529
1117,MORRO BAY,SAN LUIS OBISPO,912.00,OIL/GAS,OIL/GAS,NATURAL GAS,STEAM TURBINE,OPERATIONAL,"1=171, 2=171, 3=338, 4=338",10/1/55,MORRO BAY,CA,93442,,,,7.0913224
1126,LA PALOMA GENERATING PROJECT,KERN,1200.00,OIL/GAS,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,"1=259.8, 2=260.2, 3=256.15, 4=259.54",3/7/03,MCKITTRICK,CA,93251,,,U.S. GENERATING COMPANY,297.9670105
1129,ELK HILLS,KERN,567.00,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, STEAM TURBINE",OPERATIONAL,"1=168, 2=168, 3=213",7/24/03,TAFT,CA,93251,,,,405.4825439
1133,PINE TREE I,KERN,120.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,1.5,1/1/09,CANTIL,CA,93519,,,,1837.7633057
1141,SUNRISE,KERN,572.00,OIL/GAS,OIL/GAS,NATURAL GAS,"COMBUSTION TURBINE, STEAM TURBINE",OPERATIONAL,"1=173.33, 2=173.33, 3=266",6/27/01,FELLOWS,CA,93224,,,TEXACO GLOBAL GAS AND POWER,434.1795044
1143,DIABLO CANYON,SAN LUIS OBISPO,2323.00,NUCLEAR,NUCLEAR,NUCLEAR,"STEAM TURBINE, URANIUM",OPERATIONAL,"1=1159 , 2=1164",1/1/85,AVILA BEACH,CA,93424,,,,36.8649368
1145,LOPEZ WWTP,SAN LUIS OBISPO,0.12,HYDROELECTRIC,HYDRO,WATER,,OPERATIONAL,,5/1/84,ARROYO GRANDE,CA,93420,,"ARROYO GRANDE CREEK, LOPEZ LAKE",SAN LUIS OBISPO CO FC & WCD,113.7955322
1149,CAMERON RIDGE,KERN,64.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,0.7,1/1/99,MOJAVE,CA,93501,,,,1140.0301514
1179,OASIS,KERN,60.00,WIND,WIND,WIND,WIND TURBINE,OPERATIONAL,1,2/10/06,MOJAVE,CA,93501,,,ENXCO-EURUS ENERGY,1111.0694580
