State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
IN,Marion,3599,Citizens Thermal Energy,992,CC Perry K,4,,OP,15,10,10,22,ST,BIT,PUR,1,1925
IN,Marion,3599,Citizens Thermal Energy,992,CC Perry K,6,,OP,5,3,5,22,ST,BIT,NG,7,1938
IN,Marion,3599,Citizens Thermal Energy,992,CC Perry K,7,,OP,1.7,1.7,1.7,22,ST,BIT,NG,6,2009
IN,Marion,3599,Citizens Thermal Energy,992,CC Perry K,8,,OP,1.7,1.7,1.7,22,ST,BIT,NG,6,2009
MN,Lake,3807,Cleveland Cliffs Inc,10849,Silver Bay Power,GEN1,,OP,50,36,36,331,ST,SUB,NG,10,1955
MN,Lake,3807,Cleveland Cliffs Inc,10849,Silver Bay Power,GEN2,,OP,81.6,69,69,331,ST,SUB,NG,1,1962
CO,El Paso,3989,City of Colorado Springs - (CO),492,Martin Drake,5,,OP,50,46,46,22,ST,SUB,BIT,11,1962
CO,El Paso,3989,City of Colorado Springs - (CO),492,Martin Drake,6,,OP,75,77,77,22,ST,SUB,BIT,10,1968
CO,El Paso,3989,City of Colorado Springs - (CO),492,Martin Drake,7,,OP,132,131,131,22,ST,SUB,BIT,7,1974
CO,El Paso,3989,City of Colorado Springs - (CO),8219,Ray D Nixon,1,,OP,207,208,208,22,ST,SUB,BIT,4,1980
MO,Boone,4045,City of Columbia,2123,Columbia,5,,OP,16.5,16.5,16.5,22,ST,BIT,,1,1957
MO,Boone,4045,City of Columbia,2123,Columbia,7,,OP,22,22,22,22,ST,BIT,,1,1965
PA,CLARION,4129,Colmac Clarion Inc,54144,Piney Creek Project,GEN1,,OP,36.2,32.5,32.5,22,ST,WC,WDS,11,1992
MD,Anne Arundel,4161,Constellation Power Source Gen,602,Brandon Shores,1,,OP,685,635,635,22,ST,BIT,,5,1984
MD,Anne Arundel,4161,Constellation Power Source Gen,602,Brandon Shores,2,,OP,685,638,638,22,ST,BIT,,5,1991
MD,Baltimore,4161,Constellation Power Source Gen,1552,C P Crane,1,,OP,190.4,190,190,22,ST,BIT,,7,1961
MD,Baltimore,4161,Constellation Power Source Gen,1552,C P Crane,2,,OP,209.4,195,195,22,ST,BIT,,2,1963
MD,Anne Arundel,4161,Constellation Power Source Gen,1554,Herbert A Wagner,2,,OP,136,135,135,22,ST,BIT,,1,1959
MD,Anne Arundel,4161,Constellation Power Source Gen,1554,Herbert A Wagner,3,,OP,359,305,305,22,ST,BIT,,8,1966
MT,Rosebud,4217,Colstrip Energy LP,10784,Colstrip Energy LP,GEN1,,OP,46.1,35,40.5,22,ST,WC,,2,1990
IL,Cook,4222,Corn Products Intl Inc,54556,Corn Products Illinois,TGO1,,OP,22.5,21.1,21.2,311,ST,BIT,NG,5,1991
IL,Cook,4222,Corn Products Intl Inc,54556,Corn Products Illinois,TGO2,,OP,22.5,21.1,21.2,311,ST,BIT,NG,5,1991
MI,Muskegon,4254,Consumers Energy Co,1695,B C Cobb,4,,OP,156.3,156,160,22,ST,SUB,BIT,9,1956
MI,Muskegon,4254,Consumers Energy Co,1695,B C Cobb,5,,OP,156.3,156,160,22,ST,SUB,BIT,3,1957
MI,Bay,4254,Consumers Energy Co,1702,Dan E Karn,1A,G381,OP,136,255,255,22,ST,SUB,BIT,11,1959
MI,Bay,4254,Consumers Energy Co,1702,Dan E Karn,1B,G381,OP,136,,,22,ST,SUB,BIT,11,1959
MI,Bay,4254,Consumers Energy Co,1702,Dan E Karn,2A,G382,OP,136,260,260,22,ST,SUB,BIT,3,1961
MI,Bay,4254,Consumers Energy Co,1702,Dan E Karn,2B,G382,OP,136,,,22,ST,SUB,BIT,3,1961
MI,Ottawa,4254,Consumers Energy Co,1710,J H Campbell,1,,OP,265.2,260,260,22,ST,SUB,,10,1962
MI,Ottawa,4254,Consumers Energy Co,1710,J H Campbell,2,,OP,403.9,355,360,22,ST,SUB,BIT,7,1967
MI,Ottawa,4254,Consumers Energy Co,1710,J H Campbell,3,,OP,916.8,825,835,22,ST,SUB,,9,1980
MI,Bay,4254,Consumers Energy Co,1720,J C Weadock,7,,OP,156.3,155,155,22,ST,SUB,BIT,5,1955
MI,Bay,4254,Consumers Energy Co,1720,J C Weadock,8,,OP,156.3,155,155,22,ST,SUB,BIT,1,1958
MI,Monroe,4254,Consumers Energy Co,1723,J R Whiting,1,,OP,106.3,97.1,99.1,22,ST,SUB,BIT,7,1952
MI,Monroe,4254,Consumers Energy Co,1723,J R Whiting,2,,OP,106.3,101.4,102,22,ST,SUB,BIT,12,1952
MI,Monroe,4254,Consumers Energy Co,1723,J R Whiting,3,,OP,132.8,124,124,22,ST,SUB,BIT,11,1953
IA,Clay,4363,Corn Belt Power Coop,1217,Earl F Wisdom,1,,OP,33,37.5,38,22,ST,BIT,SUB,4,1960
IN,Montgomery,4508,"Crawfordsville Elec, Lgt & Pwr",1024,Crawfordsville,4,,OP,11.5,10.6,10.6,22,ST,BIT,,1,1955
IN,Montgomery,4508,"Crawfordsville Elec, Lgt & Pwr",1024,Crawfordsville,5,,OP,12.6,12.6,12.6,22,ST,BIT,,1,1965
GA,WORTH,4538,Crisp County Power Comm,753,Crisp Plant,1,,OP,12.5,10,10,22,ST,BIT,,6,1957
WI,Buffalo,4716,Dairyland Power Coop,4140,Alma,1,,OP,15,18.9,20.6,22,ST,BIT,SUB,9,1947
WI,Buffalo,4716,Dairyland Power Coop,4140,Alma,2,,OP,15,18,19.7,22,ST,BIT,SUB,10,1947
WI,Buffalo,4716,Dairyland Power Coop,4140,Alma,3,,OP,15,18.9,20.6,22,ST,BIT,SUB,7,1951
WI,Buffalo,4716,Dairyland Power Coop,4140,Alma,4,,OP,54.4,48.2,53.2,22,ST,BIT,SUB,4,1957
WI,Buffalo,4716,Dairyland Power Coop,4140,Alma,5,,OP,81.6,72.2,79.5,22,ST,BIT,SUB,1,1960
WI,Vernon,4716,Dairyland Power Coop,4143,Genoa,ST3,,OP,345.6,269.4,280,22,ST,SUB,BIT,6,1969
WI,Buffalo,4716,Dairyland Power Coop,4271,John P Madgett,1,,OP,387,372,374.7,22,ST,SUB,,11,1979
OH,Montgomery,4922,Dayton Power & Light Co,2848,O H Hutchings,1,,OP,69,58,59,22,ST,BIT,NG,7,1948
OH,Montgomery,4922,Dayton Power & Light Co,2848,O H Hutchings,2,,OP,69,55,56,22,ST,BIT,NG,3,1949
OH,Montgomery,4922,Dayton Power & Light Co,2848,O H Hutchings,3,,OP,69,63,64,22,ST,BIT,NG,12,1950
OH,Montgomery,4922,Dayton Power & Light Co,2848,O H Hutchings,4,,OP,69,63,64,22,ST,BIT,NG,2,1951
OH,Montgomery,4922,Dayton Power & Light Co,2848,O H Hutchings,5,,OP,69,63,64,22,ST,BIT,NG,11,1952
OH,Montgomery,4922,Dayton Power & Light Co,2848,O H Hutchings,6,,OP,69,63,64,22,ST,BIT,NG,8,1953
OH,Adams,4922,Dayton Power & Light Co,2850,J M Stuart,1,,OP,610.2,577,577,22,ST,BIT,,5,1971
OH,Adams,4922,Dayton Power & Light Co,2850,J M Stuart,2,,OP,610.2,577,577,22,ST,BIT,,10,1970
OH,Adams,4922,Dayton Power & Light Co,2850,J M Stuart,3,,OP,610.2,577,577,22,ST,BIT,,5,1972
OH,Adams,4922,Dayton Power & Light Co,2850,J M Stuart,4,,OP,610.2,577,577,22,ST,BIT,,6,1974
OH,Adams,4922,Dayton Power & Light Co,6031,Killen Station,2,,OP,660.6,600,600,22,ST,BIT,,6,1982
WI,Wood,5033,Domtar Industries Inc,50395,Georgia-Pacific Corp - Nekoosa Mill,TG6,,OP,6,5.7,5.5,322122,ST,BIT,NG,1,1951
WI,Wood,5033,Domtar Industries Inc,50395,Georgia-Pacific Corp - Nekoosa Mill,TG8,,OP,16,13,15,322122,ST,BIT,WDS,1,1966
MI,Huron,5109,Detroit Edison Co,1731,Harbor Beach,1,,OP,121,95,103,22,ST,BIT,DFO,4,1968
MI,Monroe,5109,Detroit Edison Co,1733,Monroe,1,,OP,817.2,668,770,22,ST,SUB,BIT,6,1971
MI,Monroe,5109,Detroit Edison Co,1733,Monroe,2,,OP,822.6,748,795,22,ST,SUB,BIT,3,1973
MI,Monroe,5109,Detroit Edison Co,1733,Monroe,3,,OP,822.6,752,795,22,ST,SUB,BIT,5,1973
MI,Monroe,5109,Detroit Edison Co,1733,Monroe,4,,OP,817.2,762,775,22,ST,SUB,BIT,5,1974
MI,Wayne,5109,Detroit Edison Co,1740,River Rouge,2,,OP,292.5,251,260,22,ST,SUB,BIT,11,1957
MI,Wayne,5109,Detroit Edison Co,1740,River Rouge,3,,OP,358.1,276,280,22,ST,SUB,BIT,10,1958
MI,St Clair,5109,Detroit Edison Co,1743,St Clair,1,,OP,168.7,152,158,22,ST,SUB,BIT,8,1953
MI,St Clair,5109,Detroit Edison Co,1743,St Clair,2,,OP,156.2,153,162,22,ST,SUB,BIT,11,1953
MI,St Clair,5109,Detroit Edison Co,1743,St Clair,3,,OP,156.2,165,168,22,ST,SUB,BIT,6,1954
MI,St Clair,5109,Detroit Edison Co,1743,St Clair,4,,OP,168.7,147,155,22,ST,SUB,BIT,10,1954
MI,St Clair,5109,Detroit Edison Co,1743,St Clair,6,,OP,352.7,307,321,22,ST,SUB,BIT,4,1961
MI,St Clair,5109,Detroit Edison Co,1743,St Clair,7,,OP,544.5,450,450,22,ST,SUB,BIT,4,1969
MI,Wayne,5109,Detroit Edison Co,1745,Trenton Channel,7,,OP,120,111,110,22,ST,SUB,BIT,6,1949
MI,Wayne,5109,Detroit Edison Co,1745,Trenton Channel,8,,OP,120,78,100,22,ST,SUB,BIT,2,1950
MI,Wayne,5109,Detroit Edison Co,1745,Trenton Channel,9,,OP,535.5,524,520,22,ST,SUB,BIT,1,1968
MI,St Clair,5109,Detroit Edison Co,6034,Belle River,ST1,,OP,697.5,642,635,22,ST,SUB,DFO,8,1984
MI,St Clair,5109,Detroit Edison Co,6034,Belle River,ST2,,OP,697.5,642,635,22,ST,SUB,DFO,7,1985
IL,Christian,5269,Dominion Energy Services Co,876,Kincaid Generation LLC,1,,OP,659.5,579,579,22,ST,SUB,NG,6,1967
IL,Christian,5269,Dominion Energy Services Co,876,Kincaid Generation LLC,2,,OP,659.5,579,579,22,ST,SUB,NG,6,1968
OH,Tuscarawas,5336,City of Dover - (OH),2914,Dover,3,,SB,8,8,8,22,ST,BIT,,1,1954
OH,Tuscarawas,5336,City of Dover - (OH),2914,Dover,4,,OP,19.5,15.2,15.2,22,ST,BIT,,6,1968
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2718,G G Allen,1,,OP,165,162,167,22,ST,BIT,,6,1957
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2718,G G Allen,2,,OP,165,162,167,22,ST,BIT,,11,1957
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2718,G G Allen,3,,OP,275,261,270,22,ST,BIT,,10,1959
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2718,G G Allen,4,,OP,275,276,282,22,ST,BIT,,10,1960
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2718,G G Allen,5,,OP,275,266,275,22,ST,BIT,,7,1961
NC,Rowan,5416,"Duke Energy Carolinas, LLC",2720,Buck,5,,OP,125,128,131,22,ST,BIT,,9,1953
NC,Rowan,5416,"Duke Energy Carolinas, LLC",2720,Buck,6,,OP,125,128,131,22,ST,BIT,,12,1953
NC,Cleveland,5416,"Duke Energy Carolinas, LLC",2721,Cliffside,5,,OP,570.9,552,556,22,ST,BIT,,6,1972
NC,Rockingham,5416,"Duke Energy Carolinas, LLC",2723,Dan River,1,,OP,70,67,69,22,ST,BIT,,12,1949
NC,Rockingham,5416,"Duke Energy Carolinas, LLC",2723,Dan River,2,,OP,70,67,69,22,ST,BIT,,3,1950
NC,Rockingham,5416,"Duke Energy Carolinas, LLC",2723,Dan River,3,,OP,150,142,145,22,ST,BIT,,8,1955
NC,Catawba,5416,"Duke Energy Carolinas, LLC",2727,Marshall,1,,OP,350,380,380,22,ST,BIT,,3,1965
NC,Catawba,5416,"Duke Energy Carolinas, LLC",2727,Marshall,2,,OP,350,380,380,22,ST,BIT,,4,1966
NC,Catawba,5416,"Duke Energy Carolinas, LLC",2727,Marshall,3,,OP,648,658,658,22,ST,BIT,,5,1969
NC,Catawba,5416,"Duke Energy Carolinas, LLC",2727,Marshall,4,,OP,648,660,660,22,ST,BIT,,5,1970
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2732,Riverbend,4,,OP,100,94,96,22,ST,BIT,,10,1952
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2732,Riverbend,5,,OP,100,94,96,22,ST,BIT,,11,1952
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2732,Riverbend,6,,OP,133,133,136,22,ST,BIT,,8,1954
NC,Gaston,5416,"Duke Energy Carolinas, LLC",2732,Riverbend,7,,OP,133,133,136,22,ST,BIT,,11,1954
SC,Anderson,5416,"Duke Energy Carolinas, LLC",3264,W S Lee,1,,OP,90,100,100,22,ST,BIT,,3,1951
SC,Anderson,5416,"Duke Energy Carolinas, LLC",3264,W S Lee,2,,OP,90,100,102,22,ST,BIT,,7,1951
SC,Anderson,5416,"Duke Energy Carolinas, LLC",3264,W S Lee,3,,OP,175,170,170,22,ST,BIT,,12,1958
NC,Stokes,5416,"Duke Energy Carolinas, LLC",8042,Belews Creek,1,,OP,1080.1,1110,1135,22,ST,BIT,,8,1974
NC,Stokes,5416,"Duke Energy Carolinas, LLC",8042,Belews Creek,2,,OP,1080.1,1110,1135,22,ST,BIT,,12,1975
NY,Orange,5511,Dynegy Northeast Gen Inc,2480,Danskammer Generating Station,3,,OP,147.1,137.7,137.2,22,ST,BIT,NG,10,1959
NY,Orange,5511,Dynegy Northeast Gen Inc,2480,Danskammer Generating Station,4,,OP,239.4,237,236.5,22,ST,BIT,NG,9,1967
IL,Randolph,5517,Dynegy Midwest Generation Inc,889,Baldwin Energy Complex,1,,OP,625.1,586,600,22,ST,SUB,DFO,7,1970
IL,Randolph,5517,Dynegy Midwest Generation Inc,889,Baldwin Energy Complex,2,,OP,634.5,591,605,22,ST,SUB,DFO,3,1973
IL,Randolph,5517,Dynegy Midwest Generation Inc,889,Baldwin Energy Complex,3,,OP,634.5,608,615,22,ST,SUB,DFO,4,1975
IL,Mason,5517,Dynegy Midwest Generation Inc,891,Havana,6,,OP,488,428,431,22,ST,SUB,DFO,6,1978
IL,Putnam,5517,Dynegy Midwest Generation Inc,892,Hennepin Power Station,1,,OP,75,68,70,22,ST,SUB,NG,6,1953
IL,Putnam,5517,Dynegy Midwest Generation Inc,892,Hennepin Power Station,2,,OP,231.3,217,226,22,ST,SUB,NG,5,1959
IL,Madison,5517,Dynegy Midwest Generation Inc,898,Wood River,4,,OP,112.5,88,91,22,ST,SUB,NG,6,1954
IL,Madison,5517,Dynegy Midwest Generation Inc,898,Wood River,5,,OP,387.6,368,374,22,ST,SUB,NG,7,1964
KY,Pulaski,5580,"East Kentucky Power Coop, Inc",1384,Cooper,1,,OP,113.6,116,116,22,ST,BIT,,2,1965
KY,Pulaski,5580,"East Kentucky Power Coop, Inc",1384,Cooper,2,,OP,230.4,225,225,22,ST,BIT,,10,1969
KY,Clark,5580,"East Kentucky Power Coop, Inc",1385,Dale,1,,OP,27,23,23,22,ST,BIT,,12,1954
KY,Clark,5580,"East Kentucky Power Coop, Inc",1385,Dale,2,,OP,27,23,23,22,ST,BIT,,12,1954
KY,Clark,5580,"East Kentucky Power Coop, Inc",1385,Dale,3,,OP,81,74,75,22,ST,BIT,,10,1957
KY,Clark,5580,"East Kentucky Power Coop, Inc",1385,Dale,4,,OP,81,75,75,22,ST,BIT,,8,1960
KY,Mason,5580,"East Kentucky Power Coop, Inc",6041,H L Spurlock,1,,OP,357.6,300,300,22,ST,BIT,,9,1977
KY,Mason,5580,"East Kentucky Power Coop, Inc",6041,H L Spurlock,2,,OP,592.1,510,510,22,ST,BIT,,3,1981
KY,Mason,5580,"East Kentucky Power Coop, Inc",6041,H L Spurlock,3,,OP,329.4,268,268,22,ST,BIT,WC,3,2005
KY,Mason,5580,"East Kentucky Power Coop, Inc",6041,H L Spurlock,4,,OP,329.4,268,268,22,ST,BIT,WC,4,2009
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG10,,OP,6,6,6,325,ST,BIT,NG,2,1946
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG11,,OP,6,6,6,325,ST,BIT,NG,5,1949
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG12,,OP,6,6,6,325,ST,BIT,NG,2,1953
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG13,,OP,7,7,7,325,ST,BIT,NG,1,1960
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG14,,OP,10,10,10,325,ST,BIT,NG,4,1962
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG15,,OP,7.5,7.5,7.5,325,ST,BIT,NG,10,1963
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG16,,OP,10.4,10.4,10.4,325,ST,BIT,NG,7,1966
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG17,,OP,10.4,10.4,10.4,325,ST,BIT,NG,10,1966
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG18,,OP,10.4,10.4,10.4,325,ST,BIT,NG,7,1967
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG19,,OP,10.4,10.4,10.4,325,ST,BIT,NG,3,1970
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG20,,OP,10.4,10.4,10.4,325,ST,BIT,NG,4,1972
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG21,,OP,15,15,15,325,ST,BIT,NG,7,1969
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG22,,OP,15.4,15.4,15.4,325,ST,BIT,NG,9,1982
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG24,,OP,16.8,16.8,16.8,325,ST,BIT,NG,7,1983
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG25,,OP,18,18,18,325,ST,BIT,NG,12,1994
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TG26,,OP,16.6,16.6,16.6,325,ST,BIT,NG,10,1994
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TGO7,,OP,6,6,6,325,ST,BIT,NG,9,1936
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TGO8,,OP,6,6,6,325,ST,BIT,NG,9,1939
TN,Sullivan,5610,Eastman Chemical Co-TN Ops,50481,Tennessee Eastman Operations,TGO9,,OP,6,6,6,325,ST,BIT,NG,7,1941
NY,Monroe,5624,Eastman Kodak Co,10025,Kodak Park Site,17TG,,OP,15,15,15,339,ST,BIT,RFO,12,1968
NY,Monroe,5624,Eastman Kodak Co,10025,Kodak Park Site,22TG,,OP,12.5,12.5,12.5,339,ST,BIT,RFO,8,1954
NY,Monroe,5624,Eastman Kodak Co,10025,Kodak Park Site,41TG,,OP,25.6,25.6,25.6,339,ST,BIT,NG,5,1964
NY,Monroe,5624,Eastman Kodak Co,10025,Kodak Park Site,42TG,,OP,25.6,25.6,25.6,339,ST,BIT,NG,8,1967
NY,Monroe,5624,Eastman Kodak Co,10025,Kodak Park Site,43TG,,OP,25.6,25.6,25.6,339,ST,BIT,NG,4,1969
NY,Monroe,5624,Eastman Kodak Co,10025,Kodak Park Site,44TG,,OP,25.6,25.6,25.6,339,ST,BIT,DFO,8,1987
PA,Cambria,5670,Ebensburg Power Co,10603,Ebensburg Power,GEN1,,OP,57.6,50,50,22,ST,WC,,11,1990
IL,Massac,5748,Electric Energy Inc,887,Joppa Steam,1,,OP,183.3,167,167,22,ST,SUB,NG,8,1953
IL,Massac,5748,Electric Energy Inc,887,Joppa Steam,2,,OP,183.3,167,167,22,ST,SUB,,9,1953
IL,Massac,5748,Electric Energy Inc,887,Joppa Steam,3,,OP,183.3,167,167,22,ST,SUB,,5,1954
IL,Massac,5748,Electric Energy Inc,887,Joppa Steam,4,,OP,183.3,167,167,22,ST,SUB,NG,8,1954
IL,Massac,5748,Electric Energy Inc,887,Joppa Steam,5,,OP,183.3,167,167,22,ST,SUB,,6,1955
IL,Massac,5748,Electric Energy Inc,887,Joppa Steam,6,,OP,183.3,167,167,22,ST,SUB,,8,1955
KS,Cherokee,5860,Empire District Electric Co,1239,Riverton,7,,OP,37.5,38,38,22,ST,SUB,BIT,6,1950
KS,Cherokee,5860,Empire District Electric Co,1239,Riverton,8,,OP,50,54,54,22,ST,SUB,BIT,6,1954
MO,Jasper,5860,Empire District Electric Co,2076,Asbury,1,,OP,212.8,189,189,22,ST,SUB,BIT,6,1970
MO,Jasper,5860,Empire District Electric Co,2076,Asbury,2,,OP,18.7,18,18,22,ST,SUB,BIT,4,1986
PA,Delaware,6035,Exelon Power,3161,Eddystone Generating Station,2,,OP,353.6,309,311,22,ST,BIT,RFO,10,1960
FL,Citrus,6455,Progress Energy Florida Inc,628,Crystal River,1,,OP,440.5,375,376,22,ST,BIT,,10,1966
FL,Citrus,6455,Progress Energy Florida Inc,628,Crystal River,2,,OP,523.8,498,498,22,ST,BIT,,11,1969
FL,Citrus,6455,Progress Energy Florida Inc,628,Crystal River,5,,OP,739.2,710,721,22,ST,BIT,,10,1984
FL,Citrus,6455,Progress Energy Florida Inc,628,Crystal River,ST4,,OP,739.2,712,721,22,ST,BIT,,12,1982
OH,Ashtabula,6526,FirstEnergy Generation Corp,2835,FirstEnergy Ashtabula,5,,OP,256,244,244,22,ST,SUB,BIT,12,1958
OH,Lake,6526,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,1,,OP,123,132,132,22,ST,SUB,BIT,9,1953
OH,Lake,6526,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,2,,OP,123,132,132,22,ST,SUB,BIT,12,1953
OH,Lake,6526,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,3,,OP,123,132,132,22,ST,SUB,BIT,8,1954
OH,Lake,6526,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,4,,OP,208,240,240,22,ST,SUB,BIT,3,1956
OH,Lake,6526,FirstEnergy Generation Corp,2837,FirstEnergy Eastlake,5,,OP,680,597,597,22,ST,BIT,SUB,9,1972
OH,Cuyahoga,6526,FirstEnergy Generation Corp,2838,FirstEnergy Lake Shore,18,,OP,256,245,245,22,ST,SUB,,6,1962
OH,Belmont,6526,FirstEnergy Generation Corp,2864,FirstEnergy R E Burger,3,,OS,103.4,94,94,22,ST,BIT,,3,1950
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,1,,OP,190.4,180,180,22,ST,BIT,SUB,8,1959
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,2,,OP,190.4,180,180,22,ST,BIT,SUB,7,1960
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,3,,OP,190.4,180,180,22,ST,BIT,SUB,7,1961
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,4,,OP,190.4,180,180,22,ST,BIT,SUB,11,1962
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,5,,OP,334,300,300,22,ST,BIT,SUB,12,1967
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,6,,OP,680,600,600,22,ST,BIT,SUB,4,1969
OH,Jefferson,6526,FirstEnergy Generation Corp,2866,FirstEnergy W H Sammis,7,,OP,680,600,600,22,ST,BIT,SUB,9,1971
OH,Lucas,6526,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,2,,OP,140.6,138,138,22,ST,SUB,BIT,2,1959
OH,Lucas,6526,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,3,,OP,140.6,142,142,22,ST,SUB,BIT,5,1963
OH,Lucas,6526,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,4,,OP,217.6,215,215,22,ST,SUB,BIT,6,1968
PA,Beaver,6526,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,1,,OP,913.7,830,830,22,ST,BIT,,4,1976
PA,Beaver,6526,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,2,,OP,913.7,830,830,22,ST,BIT,,10,1977
PA,Beaver,6526,FirstEnergy Generation Corp,6094,FirstEnergy Bruce Mansfield,3,,OP,913.7,850,850,22,ST,BIT,,9,1980
OK,Muskogee,6589,Georgia Pacific Consumer Products LP,10362,Muskogee Mill,GEN1,,OP,25,10.6,14.5,322122,ST,SUB,NG,3,1978
OK,Muskogee,6589,Georgia Pacific Consumer Products LP,10362,Muskogee Mill,GEN2,,OP,44.5,23.1,32.5,322122,ST,SUB,NG,3,1979
OK,Muskogee,6589,Georgia Pacific Consumer Products LP,10362,Muskogee Mill,GEN3,,OP,44.5,34.8,32.5,322122,ST,SUB,NG,11,1982
NE,Dodge,6779,City of Fremont - (NE),2240,Lon Wright,6,,OP,16.5,15,15,22,ST,SUB,NG,8,1957
NE,Dodge,6779,City of Fremont - (NE),2240,Lon Wright,7,,OP,22,20,20,22,ST,SUB,NG,8,1963
NE,Dodge,6779,City of Fremont - (NE),2240,Lon Wright,8,,OP,91.5,85,85,22,ST,SUB,NG,1,1977
FL,Alachua,6909,Gainesville Regional Utilities,663,Deerhaven Generating Station,2,,OP,250.7,227,227,22,ST,BIT,NG,10,1981
WY,Sweetwater,7067,Tata Chemicals Partners,54318,General Chemical,TG1,,OP,15,15,15,325188,ST,SUB,NG,5,1968
WY,Sweetwater,7067,Tata Chemicals Partners,54318,General Chemical,TG2,,OP,15,15,15,325188,ST,SUB,NG,1,1977
GA,Bartow,7140,Georgia Power Co,703,Bowen,1,,OP,805.8,724,724,22,ST,BIT,DFO,10,1971
GA,Bartow,7140,Georgia Power Co,703,Bowen,2,,OP,788.8,724,724,22,ST,BIT,DFO,9,1972
GA,Bartow,7140,Georgia Power Co,703,Bowen,3,,OP,952,892,892,22,ST,BIT,DFO,12,1974
GA,Bartow,7140,Georgia Power Co,703,Bowen,4,,OP,952,862,892,22,ST,BIT,DFO,11,1975
GA,Floyd,7140,Georgia Power Co,708,Hammond,1,,OP,125,110,110,22,ST,BIT,DFO,6,1954
GA,Floyd,7140,Georgia Power Co,708,Hammond,2,,OP,125,110,110,22,ST,BIT,DFO,9,1954
GA,Floyd,7140,Georgia Power Co,708,Hammond,3,,OP,125,110,110,22,ST,BIT,DFO,6,1955
GA,Floyd,7140,Georgia Power Co,708,Hammond,4,,OP,578,510,510,22,ST,BIT,DFO,12,1970
GA,Putnam,7140,Georgia Power Co,709,Harllee Branch,1,,OP,299.2,266,266,22,ST,BIT,DFO,6,1965
GA,Putnam,7140,Georgia Power Co,709,Harllee Branch,2,,OP,359,325,325,22,ST,BIT,DFO,6,1967
GA,Putnam,7140,Georgia Power Co,709,Harllee Branch,3,,OP,544,509,509,22,ST,BIT,DFO,7,1968
