State,County,Entity ID,Entity,Facility ID,Plant Name,Generator ID,Unit Code,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Prime Mover,Primary Energy Source,Secondary Energy Source,Initial Month of Operation,Initial Year of Operation
MN,Clay,491,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,G1,,OP,3,3,3,311,ST,SUB,,9,1948
MN,Clay,491,American Crystal Sugar Co,54211,American Crystal Sugar Moorhead,G2,,OP,2,2,2,311,ST,SUB,,9,1961
MN,Polk,491,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,G1,,OP,3.5,3.5,3.5,311,ST,SUB,,9,1954
MN,Polk,491,American Crystal Sugar Co,54212,American Crystal Sugar Crookston,G2,,OP,3,3,3,311,ST,SUB,,9,1975
ND,Pembina,491,American Crystal Sugar Co,54213,American Crystal Sugar Drayton,G1,,OP,6,6,6,311,ST,SUB,,9,1965
MN,Polk,491,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,G1,,OP,2.5,2.5,2.5,311,ST,SUB,,9,1990
MN,Polk,491,American Crystal Sugar Co,54214,American Crystal Sugar East Grand Forks,G2,,OP,5,5,5,311,ST,SUB,,9,1990
IL,Montgomery,520,Ameren Energy Generating Co,861,Coffeen,1,,OP,388.9,330,335,22,ST,SUB,BIT,12,1965
IL,Montgomery,520,Ameren Energy Generating Co,861,Coffeen,2,,OP,616.5,565,580,22,ST,SUB,BIT,9,1972
IL,Jasper,520,Ameren Energy Generating Co,6017,Newton,1,,OP,617.4,598,610,22,ST,SUB,BIT,11,1977
IL,Jasper,520,Ameren Energy Generating Co,6017,Newton,2,,OP,617.4,599,604,22,ST,SUB,BIT,12,1982
IA,Story,554,City of Ames - (IA),1122,Ames Electric Services Power Plant,7,,OP,37.5,35.5,35.5,22,ST,SUB,OBS,5,1968
IA,Story,554,City of Ames - (IA),1122,Ames Electric Services Power Plant,8,,OP,71.3,66.2,66.2,22,ST,SUB,OBS,6,1982
WV,Marion,563,American Bituminous Power LP,10151,Grant Town Power Plant,GEN1,,OP,95.7,80,80,22,ST,WC,NG,7,1992
MO,SAINT LOUIS CITY,623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,GEN1,,OP,11,11,11,311,ST,BIT,NG,1,1947
