lat,lon
39.7128155,-88.9970218
41.2089559,-86.11493580000001
34.896944,-94.981389
34.896944,-94.981389
42.64308459999999,-77.1485163
39.6255251,-78.6114999
41.3556539,-72.0995209
34.1083449,-117.2897652
41.2491766,-92.5260229
40.6953437,-80.30478459999999
40.6953437,-80.30478459999999
21.4389123,-158.0000565
31.3422346,-88.24611829999999
31.3422346,-88.24611829999999
31.3422346,-88.24611829999999
30.6953657,-88.0398912
30.6953657,-88.0398912
30.6953657,-88.0398912
30.6953657,-88.0398912
30.6953657,-88.0398912
34.0455341,-86.05296039999999
34.0455341,-86.05296039999999
33.8563605,-87.30161319999999
33.8563605,-87.30161319999999
33.8563605,-87.30161319999999
33.8563605,-87.30161319999999
33.8563605,-87.30161319999999
32.9718107,-87.9334803
32.9718107,-87.9334803
33.1086539,-86.5835907
33.1086539,-86.5835907
33.1086539,-86.5835907
33.1086539,-86.5835907
33.1086539,-86.5835907
33.4914122,-86.9824288
33.4914122,-86.9824288
33.4914122,-86.9824288
33.4914122,-86.9824288
38.0736703,-87.2618328
38.0736703,-87.2618328
38.0736703,-87.2618328
38.0736703,-87.2618328
36.6066162,-120.1890447
42.5629668,-114.4608711
42.5629668,-114.4608711
42.5629668,-114.4608711
47.4636775,-97.1256368
46.878186,-96.42575889999999
46.878186,-96.42575889999999
47.6635085,-96.4170534
47.6635085,-96.4170534
48.9663765,-97.2436761
47.6635085,-96.4170534
47.6635085,-96.4170534
41.730585,-88.3459048
41.730585,-88.3459048
39.0554965,-88.0900762
39.0554965,-88.0900762
42.1040438,-93.5003454
42.1040438,-93.5003454
39.5288627,-80.23213129999999
38.6270025,-90.19940419999999
38.6270025,-90.19940419999999
38.6270025,-90.19940419999999
36.9904385,-82.08429009999999
36.9904385,-82.08429009999999
36.9904385,-82.08429009999999
37.3132885,-80.6770787
37.3132885,-80.6770787
38.4991939,-81.909826
38.4991939,-81.909826
38.4991939,-81.909826
38.2556905,-81.42789839999999
38.2556905,-81.42789839999999
39.021745,-82.0290296
39.021745,-82.0290296
39.021745,-82.0290296
39.021745,-82.0290296
39.021745,-82.0290296
39.021745,-82.0290296
