,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
385,PA,Beaver,FirstEnergy Bruce Mansfield,OP,913.7,BIT,4,1976
386,PA,Beaver,FirstEnergy Bruce Mansfield,OP,913.7,BIT,10,1977
387,PA,Beaver,FirstEnergy Bruce Mansfield,OP,913.7,BIT,9,1980
388,OK,Muskogee,Muskogee Mill,OP,25.0,SUB,3,1978
389,OK,Muskogee,Muskogee Mill,OP,44.5,SUB,3,1979
390,OK,Muskogee,Muskogee Mill,OP,44.5,SUB,11,1982
391,NE,Dodge,Lon Wright,OP,16.5,SUB,8,1957
392,NE,Dodge,Lon Wright,OP,22.0,SUB,8,1963
393,NE,Dodge,Lon Wright,OP,91.5,SUB,1,1977
394,FL,Alachua,Deerhaven Generating Station,OP,250.7,BIT,10,1981
395,WY,Sweetwater,General Chemical,OP,15.0,SUB,5,1968
396,WY,Sweetwater,General Chemical,OP,15.0,SUB,1,1977
397,GA,Bartow,Bowen,OP,805.8,BIT,10,1971
398,GA,Bartow,Bowen,OP,788.8,BIT,9,1972
399,GA,Bartow,Bowen,OP,952.0,BIT,12,1974
400,GA,Bartow,Bowen,OP,952.0,BIT,11,1975
401,GA,Floyd,Hammond,OP,125.0,BIT,6,1954
402,GA,Floyd,Hammond,OP,125.0,BIT,9,1954
403,GA,Floyd,Hammond,OP,125.0,BIT,6,1955
404,GA,Floyd,Hammond,OP,578.0,BIT,12,1970
405,GA,Putnam,Harllee Branch,OP,299.2,BIT,6,1965
406,GA,Putnam,Harllee Branch,OP,359.0,BIT,6,1967
407,GA,Putnam,Harllee Branch,OP,544.0,BIT,7,1968
408,GA,Putnam,Harllee Branch,OP,544.0,BIT,6,1969
409,GA,Cobb,Jack McDonough,OP,299.2,BIT,8,1963
410,GA,Dougherty,Mitchell,OP,163.2,BIT,5,1964
411,GA,Coweta,Yates,OP,122.5,BIT,9,1950
412,GA,Coweta,Yates,OP,122.5,BIT,11,1950
413,GA,Coweta,Yates,OP,122.5,BIT,8,1952
414,GA,Coweta,Yates,OP,156.2,BIT,6,1957
415,GA,Coweta,Yates,OP,156.2,BIT,5,1958
416,GA,Coweta,Yates,OP,403.7,BIT,7,1974
417,GA,Coweta,Yates,OP,403.7,BIT,4,1974
418,GA,Chatham,Kraft,OP,54.4,BIT,5,1961
419,GA,Chatham,Kraft,OP,103.5,BIT,5,1965
420,GA,Chatham,Kraft,OP,50.0,BIT,7,1958
421,GA,Heard,Wansley,OP,952.0,BIT,12,1976
422,GA,Heard,Wansley,OP,952.0,BIT,4,1978
423,GA,Effingham,McIntosh,OP,177.6,BIT,2,1979
424,GA,Monroe,Scherer,OP,891.0,SUB,3,1982
425,GA,Monroe,Scherer,OP,891.0,SUB,2,1984
426,GA,Monroe,Scherer,OP,891.0,SUB,1,1987
427,GA,Monroe,Scherer,OP,891.0,SUB,2,1989
428,PA,Schuylkill,John B Rich Memorial Power Station,OP,88.4,WC,2,1988
429,AK,Denali Borough,Healy,OP,28.0,SUB,11,1967
430,MI,Ottawa,J B Sims,OP,80.0,BIT,8,1983
431,OK,Mayes,GRDA,OP,540.0,SUB,6,1981
432,OK,Mayes,GRDA,OP,594.0,SUB,10,1985
433,ND,Mercer,Stanton,OP,190.2,SUB,4,1967
434,ND,McLean,Coal Creek,OP,604.8,LIG,6,1979
435,ND,McLean,Coal Creek,OP,604.8,LIG,9,1980
436,FL,Escambia,Crist,OP,93.7,BIT,7,1959
437,FL,Escambia,Crist,OP,93.7,BIT,6,1961
438,FL,Escambia,Crist,OP,369.7,BIT,5,1970
439,FL,Escambia,Crist,OP,578.0,BIT,8,1973
440,FL,Jackson,Scholz,OP,49.0,BIT,3,1953
441,FL,Jackson,Scholz,OP,49.0,BIT,10,1953
442,FL,Bay,Lansing Smith,OP,149.6,BIT,6,1965
443,FL,Bay,Lansing Smith,OP,190.4,BIT,6,1967
444,DE,Kent,NRG Energy Center Dover,OP,18.0,BIT,5,1985
445,OH,Butler,Hamilton,OP,25.0,BIT,6,1965
446,OH,Butler,Hamilton,OP,50.6,BIT,10,1975
447,NE,Adams,Whelan Energy Center,OP,76.3,SUB,7,1981
448,NE,Adams,Whelan Energy Center,OP,248.0,SUB,6,2011
449,MN,St Louis,Hibbing,OP,10.0,SUB,4,1965
450,MN,St Louis,Hibbing,OP,19.5,SUB,8,1985
451,MN,St Louis,Hibbing,OP,6.4,SUB,2,1996
452,MI,Ottawa,James De Young,OP,11.5,BIT,4,1951
453,MI,Ottawa,James De Young,OP,22.0,BIT,5,1962
454,MI,Ottawa,James De Young,OP,29.3,BIT,6,1969
455,MO,Jackson,Blue Valley,OP,25.0,BIT,5,1958
456,MO,Jackson,Blue Valley,OP,65.0,BIT,8,1965
457,MO,Jackson,Blue Valley,OP,25.0,BIT,4,1958
458,MO,Clay,Missouri City,OP,23.0,BIT,6,1954
459,MO,Clay,Missouri City,OP,23.0,BIT,6,1954
460,IN,Pike,Frank E Ratts,OP,116.6,BIT,4,1970
461,IN,Pike,Frank E Ratts,OP,116.6,BIT,4,1970
462,IN,Sullivan,Merom,OP,540.0,BIT,9,1983
463,IN,Sullivan,Merom,OP,540.0,BIT,2,1982
464,IN,Jefferson,Clifty Creek,OP,217.3,SUB,2,1955
465,IN,Jefferson,Clifty Creek,OP,217.3,SUB,5,1955
466,IN,Jefferson,Clifty Creek,OP,217.3,SUB,7,1955
467,IN,Jefferson,Clifty Creek,OP,217.3,SUB,10,1955
468,IN,Jefferson,Clifty Creek,OP,217.3,SUB,11,1955
469,IN,Jefferson,Clifty Creek,OP,217.3,SUB,3,1956
470,IN,Marion,Harding Street,OP,113.5,BIT,6,1958
471,IN,Marion,Harding Street,OP,113.6,BIT,5,1961
472,IN,Marion,Harding Street,OP,470.9,BIT,7,1973
473,IN,Morgan,Eagle Valley,OP,50.0,BIT,12,1951
474,IN,Morgan,Eagle Valley,OP,69.0,BIT,1,1953
475,IN,Morgan,Eagle Valley,OP,69.0,BIT,12,1953
476,IN,Morgan,Eagle Valley,OP,113.6,BIT,10,1956
477,IN,Pike,AES Petersburg,OP,670.9,BIT,4,1986
478,IN,Pike,AES Petersburg,OP,281.6,BIT,6,1967
479,IN,Pike,AES Petersburg,OP,523.3,BIT,12,1969
480,IN,Pike,AES Petersburg,OP,670.9,BIT,11,1977
481,IN,Dearborn,Tanners Creek,OP,152.5,BIT,3,1951
482,IN,Dearborn,Tanners Creek,OP,152.5,BIT,11,1952
483,IN,Dearborn,Tanners Creek,OP,215.4,BIT,12,1954
484,IN,Dearborn,Tanners Creek,OP,579.7,BIT,7,1964
485,IN,Spencer,Rockport,OP,1300.0,SUB,12,1984
486,IN,Spencer,Rockport,OP,1300.0,SUB,12,1989
487,DE,Sussex,Indian River Generating Station,OS,81.6,BIT,10,1957
488,DE,Sussex,Indian River Generating Station,OS,81.6,BIT,11,1959
489,DE,Sussex,Indian River Generating Station,OP,176.8,BIT,3,1970
490,DE,Sussex,Indian River Generating Station,OP,442.4,BIT,10,1980
491,PA,Cambria,Colver Power Project,OP,118.0,WC,2,1995
492,IA,Dubuque,Dubuque,OP,28.7,SUB,1,1952
493,IA,Dubuque,Dubuque,OP,37.5,SUB,1,1959
494,IA,Allamakee,Lansing,SB,37.5,SUB,1,1957
495,IA,Allamakee,Lansing,OP,274.5,SUB,5,1977
496,IA,Clinton,Milton L Kapp,OP,218.5,SUB,1,1967
497,IA,Linn,Prairie Creek,OP,14.6,SUB,4,1997
498,IA,Linn,Prairie Creek,OP,50.0,SUB,10,1958
499,IA,Linn,Prairie Creek,OP,148.8,SUB,4,1967
500,IA,Marshall,Sutherland,OP,37.5,SUB,5,1955
501,IA,Marshall,Sutherland,OP,81.6,SUB,1,1961
502,IA,Des Moines,Burlington,OP,212.0,SUB,6,1968
503,IA,Wapello,Ottumwa,OP,725.9,SUB,5,1981
504,IA,Story,Iowa State University,OP,13.2,BIT,9,1978
505,IA,Story,Iowa State University,SB,6.2,BIT,10,1960
506,IA,Story,Iowa State University,OP,11.5,BIT,3,1970
507,IA,Story,Iowa State University,OP,15.1,BIT,5,2005
508,FL,Duval,St Johns River Power Park,OP,679.0,BIT,4,1987
509,FL,Duval,St Johns River Power Park,OP,679.0,BIT,7,1988
510,VA,HOPEWELL CITY,James River Genco LLC,OP,57.4,BIT,1,1988
511,VA,HOPEWELL CITY,James River Genco LLC,OP,57.4,BIT,1,1988
512,NY,Chautauqua,S A Carlson,OP,24.5,BIT,8,1951
513,NY,Chautauqua,S A Carlson,OP,24.5,BIT,8,1968
514,IN,Dubois,Jasper 2,OP,14.5,BIT,9,1968
515,FL,Nassau,Fernandina Beach Mill,OP,74.4,BIT,9,1982
516,IL,Rock Island,John Deere Harvester Works,SB,2.0,BIT,10,1940
517,IL,Rock Island,John Deere Harvester Works,SB,2.5,BIT,4,1949
518,IL,Rock Island,John Deere Harvester Works,SB,3.0,BIT,11,1951
519,IL,Rock Island,John Deere Harvester Works,OS,2.5,BIT,11,1960
520,KS,Wyandotte,Quindaro,OP,81.6,SUB,5,1965
521,KS,Wyandotte,Quindaro,OP,157.5,SUB,12,1971
522,KS,Wyandotte,Nearman Creek,OP,261.0,SUB,6,1981
523,KS,Linn,La Cygne,OP,893.0,SUB,6,1973
524,KS,Linn,La Cygne,OP,685.0,SUB,5,1977
525,MO,Jackson,Hawthorn,OP,594.3,SUB,5,1969
526,MO,Henry,Montrose,OP,188.0,SUB,7,1958
527,MO,Henry,Montrose,OP,188.0,SUB,4,1960
528,MO,Henry,Montrose,OP,188.0,SUB,5,1964
529,MO,Platte,Iatan,OP,726.0,SUB,5,1980
530,MO,Platte,Iatan,OP,914.0,SUB,8,2010
531,KY,Mercer,E W Brown,OP,113.6,BIT,5,1957
532,KY,Mercer,E W Brown,OP,179.5,BIT,6,1963
533,KY,Mercer,E W Brown,OP,464.0,BIT,7,1971
534,KY,Carroll,Ghent,OP,556.9,BIT,2,1974
535,KY,Carroll,Ghent,OP,556.3,BIT,4,1977
536,KY,Carroll,Ghent,OP,556.5,BIT,5,1981
537,KY,Carroll,Ghent,OP,556.2,BIT,8,1984
538,KY,Muhlenberg,Green River,OP,75.0,BIT,4,1954
539,KY,Muhlenberg,Green River,OP,113.6,BIT,7,1959
540,KY,Woodford,Tyrone,SB,75.0,BIT,7,1953
541,PA,Delaware,Chester Operations,OP,67.0,WC,5,1986
542,FL,Polk,C D McIntosh Jr,OP,363.8,BIT,9,1982
543,CO,Prowers,Lamar Plant,OP,25.0,SUB,8,1972
544,CO,Prowers,Lamar Plant,OP,18.5,SUB,5,2009
545,IN,Cass,Logansport,OP,18.0,BIT,6,1958
546,IN,Cass,Logansport,OP,25.0,BIT,6,1964
547,UT,Millard,Intermountain Power Project,OP,820.0,BIT,6,1986
548,UT,Millard,Intermountain Power Project,OP,820.0,BIT,5,1987
549,KY,Jefferson,Cane Run,OP,163.2,BIT,5,1962
550,KY,Jefferson,Cane Run,OP,209.4,BIT,5,1966
551,KY,Jefferson,Cane Run,OP,272.0,BIT,5,1969
552,KY,Jefferson,Mill Creek,OP,355.5,BIT,8,1972
553,KY,Jefferson,Mill Creek,OP,355.5,BIT,7,1974
554,KY,Jefferson,Mill Creek,OP,462.6,BIT,8,1978
555,KY,Jefferson,Mill Creek,OP,543.6,BIT,9,1982
556,KY,Trimble,Trimble County,OP,566.1,BIT,12,1990
557,KY,Trimble,Trimble County,OP,834.0,BIT,1,2011
558,LA,Pointe Coupee,Big Cajun 2,OP,626.0,SUB,7,1981
559,LA,Pointe Coupee,Big Cajun 2,OP,626.0,SUB,7,1982
560,LA,Pointe Coupee,Big Cajun 2,OP,619.0,SUB,4,1983
561,TX,Fayette,Fayette Power Project,OP,615.0,SUB,6,1979
562,TX,Fayette,Fayette Power Project,OP,615.0,SUB,5,1980
563,TX,Fayette,Fayette Power Project,OP,460.0,SUB,4,1988
564,WI,Dane,Blount Street,OP,50.0,BIT,6,1957
565,WI,Dane,Blount Street,OP,50.0,BIT,7,1961
566,MI,Marquette,Shiras,OS,12.5,BIT,1,1967
567,MI,Marquette,Shiras,OP,21.0,BIT,1,1972
568,MI,Marquette,Shiras,OP,44.0,SUB,4,1983
569,MO,Saline,Marshall,OP,6.0,BIT,7,1956
570,MO,Saline,Marshall,OP,16.5,BIT,7,1967
571,ND,Morton,R M Heskett,OP,40.0,LIG,11,1954
572,ND,Morton,R M Heskett,OP,75.0,LIG,11,1963
573,MT,Richland,Lewis & Clark,OP,50.0,LIG,10,1958
574,WI,WINNEBAGO,Menasha,OP,7.5,SUB,12,1954
575,WI,WINNEBAGO,Menasha,OP,13.6,SUB,12,1964
576,WI,WINNEBAGO,Menasha,OP,6.9,SUB,10,2006
577,IA,Scott,Riverside,OP,5.0,SUB,5,1949
578,IA,Scott,Riverside,OP,136.0,SUB,6,1961
579,IA,Pottawattamie,Walter Scott Jr Energy Center,OP,49.0,SUB,3,1954
580,IA,Pottawattamie,Walter Scott Jr Energy Center,OP,81.6,SUB,10,1958
581,IA,Pottawattamie,Walter Scott Jr Energy Center,OP,725.8,SUB,12,1978
582,IA,Pottawattamie,Walter Scott Jr Energy Center,OP,922.5,SUB,6,2007
583,IA,Woodbury,George Neal North,OP,147.0,SUB,5,1964
584,IA,Woodbury,George Neal North,OP,349.2,SUB,5,1972
585,IA,Woodbury,George Neal North,OP,549.8,SUB,5,1975
586,IA,Louisa,Louisa,OP,811.9,SUB,10,1983
587,IA,Woodbury,George Neal South,OP,640.0,SUB,7,1979
588,IL,Will,Joliet 29,OP,660.0,SUB,4,1965
589,IL,Will,Joliet 29,OP,660.0,SUB,3,1966
590,IL,Cook,Crawford,OP,239.3,SUB,5,1958
591,IL,Cook,Crawford,OP,358.1,SUB,4,1961
592,IL,Will,Joliet 9,OP,360.4,SUB,6,1959
593,IL,Tazewell,Powerton,OP,892.8,SUB,9,1972
594,IL,Tazewell,Powerton,OP,892.8,SUB,12,1975
595,IL,Lake,Waukegan,OP,326.4,SUB,6,1958
596,IL,Lake,Waukegan,OP,355.3,SUB,7,1962
597,IL,Will,Will County,OP,299.2,SUB,6,1957
598,IL,Will,Will County,OP,598.4,SUB,6,1963
599,IL,Cook,Fisk Street,OP,374.0,SUB,7,1968
600,PA,Indiana,Homer City Station,OP,660.0,BIT,6,1969
601,PA,Indiana,Homer City Station,OP,660.0,BIT,8,1969
602,PA,Indiana,Homer City Station,OP,692.0,BIT,11,1977
603,MI,Ingham,T B Simon Power Plant,OP,12.5,BIT,12,1965
604,MI,Ingham,T B Simon Power Plant,OP,12.5,BIT,9,1966
605,MI,Ingham,T B Simon Power Plant,OP,15.0,BIT,12,1974
606,MI,Ingham,T B Simon Power Plant,OP,21.0,BIT,8,1993
607,MI,Ingham,T B Simon Power Plant,OP,24.0,BIT,5,2006
608,VA,Alexandria,Potomac River,OP,92.0,BIT,9,1949
609,VA,Alexandria,Potomac River,OP,92.0,BIT,6,1950
610,VA,Alexandria,Potomac River,OP,110.0,BIT,6,1954
611,VA,Alexandria,Potomac River,OP,110.0,BIT,2,1956
612,VA,Alexandria,Potomac River,OP,110.0,BIT,5,1957
613,MD,Prince Georges,Chalk Point LLC,OP,364.0,BIT,8,1964
614,MD,Prince Georges,Chalk Point LLC,OP,364.0,BIT,3,1965
615,MN,St Louis,Syl Laskin,OP,58.0,SUB,6,1953
616,MN,St Louis,Syl Laskin,OP,58.0,SUB,9,1953
617,MN,Itasca,Clay Boswell,OP,75.0,SUB,7,1958
618,MN,Itasca,Clay Boswell,OP,75.0,SUB,1,1960
619,MN,Itasca,Clay Boswell,OP,364.5,SUB,5,1973
620,MN,Itasca,Clay Boswell,OP,558.0,SUB,5,1980
621,MN,Cook,Taconite Harbor Energy Center,OP,84.0,SUB,1,1957
622,MN,Cook,Taconite Harbor Energy Center,OP,84.0,SUB,1,1957
623,MN,Cook,Taconite Harbor Energy Center,OP,84.0,SUB,1,1967
624,MD,Montgomery,Dickerson,OP,196.0,BIT,4,1960
625,MD,Montgomery,Dickerson,OP,196.0,BIT,3,1962
626,MD,Montgomery,Dickerson,OP,196.0,BIT,6,1959
627,MD,Charles,Morgantown Generating Plant,OP,626.0,BIT,6,1970
628,MD,Charles,Morgantown Generating Plant,OP,626.0,BIT,6,1971
629,ND,Oliver,Milton R Young,OP,257.0,LIG,10,1970
630,ND,Oliver,Milton R Young,OP,477.0,LIG,4,1977
631,MS,Harrison,Jack Watson,OP,299.2,BIT,6,1968
632,MS,Harrison,Jack Watson,OP,578.0,BIT,5,1973
633,MS,Jackson,Victor J Daniel Jr,OP,548.3,BIT,9,1977
634,MS,Jackson,Victor J Daniel Jr,OP,548.3,BIT,6,1981
635,WV,Preston,FirstEnergy Albright,OP,69.0,BIT,12,1952
636,WV,Preston,FirstEnergy Albright,OP,69.0,BIT,10,1952
637,WV,Preston,FirstEnergy Albright,OP,140.2,BIT,10,1954
638,WV,Monongalia,FirstEnergy Fort Martin Power Station,OP,576.0,BIT,10,1967
639,WV,Monongalia,FirstEnergy Fort Martin Power Station,OP,576.0,BIT,12,1968
640,WV,MARION,FirstEnergy Rivesville,OP,35.0,BIT,6,1943
641,WV,MARION,FirstEnergy Rivesville,OP,74.7,BIT,9,1951
642,WV,Pleasants,FirstEnergy Willow Island,OP,50.0,BIT,2,1949
643,WV,Pleasants,FirstEnergy Willow Island,OP,163.2,BIT,10,1960
644,MI,HILLSDALE,Endicott Station,OP,55.0,BIT,12,1982
645,WV,Monongalia,Morgantown Energy Facility,OP,68.9,WC,11,1991
646,OH,Wayne,Morton Salt Rittman,OP,1.5,BIT,10,1978
647,CA,Kern,Mt Poso Cogeneration,OP,62.0,BIT,5,1989
648,IA,Muscatine,Muscatine Plant #1,OP,25.0,SUB,4,1958
649,IA,Muscatine,Muscatine Plant #1,OP,75.0,SUB,1,1969
650,IA,Muscatine,Muscatine Plant #1,OP,18.0,SUB,7,2000
651,IA,Muscatine,Muscatine Plant #1,OP,175.5,SUB,4,1983
652,NY,Erie,C R Huntley Generating Station,OP,218.0,SUB,10,1957
653,NY,Erie,C R Huntley Generating Station,OP,218.0,SUB,11,1958
654,NE,Lancaster,Sheldon,OP,108.8,SUB,1,1961
655,NE,Lancaster,Sheldon,OP,119.9,SUB,1,1965
656,NE,Lincoln,Gerald Gentleman,OP,681.3,SUB,4,1979
657,NE,Lincoln,Gerald Gentleman,OP,681.3,SUB,1,1982
658,NV,Clark,Reid Gardner,OP,114.0,BIT,6,1965
659,NV,Clark,Reid Gardner,OP,114.0,BIT,6,1968
660,NV,Clark,Reid Gardner,OP,114.0,BIT,5,1976
661,NV,Clark,Reid Gardner,OP,294.8,BIT,7,1983
662,NY,Chautauqua,Dunkirk Generating Plant,OP,96.0,SUB,11,1950
663,NY,Chautauqua,Dunkirk Generating Plant,OP,96.0,SUB,12,1950
664,NY,Chautauqua,Dunkirk Generating Plant,OP,217.6,SUB,9,1959
665,NY,Chautauqua,Dunkirk Generating Plant,OP,217.6,SUB,8,1960
666,PA,Blair,Juniata Locomotive Shop,OP,2.0,BIT,8,1955
667,PA,Blair,Juniata Locomotive Shop,OP,2.0,BIT,8,1955
668,NC,Bladen,Elizabethtown Power LLC,OS,34.7,BIT,12,1985
669,NC,Robeson,Lumberton,OS,34.7,BIT,12,1985
670,IN,Porter,Bailly,OP,190.4,BIT,11,1962
671,IN,Porter,Bailly,OP,413.1,BIT,7,1968
672,IN,La Porte,Michigan City,OP,540.0,SUB,5,1974
673,IN,Jasper,R M Schahfer,OP,540.0,SUB,12,1976
674,IN,Jasper,R M Schahfer,OP,556.4,SUB,10,1979
675,IN,Jasper,R M Schahfer,OP,423.5,BIT,4,1983
676,IN,Jasper,R M Schahfer,OP,423.5,BIT,2,1986
677,MN,Dakota,Black Dog,OP,113.6,SUB,7,1955
678,MN,Dakota,Black Dog,OP,179.5,SUB,9,1960
679,MN,Washington,Allen S King,OP,598.4,SUB,3,1958
680,WI,Ashland,Bay Front,OP,27.2,SUB,1,1957
681,MN,Sherburne,Sherburne County,OP,765.3,SUB,4,1976
682,MN,Sherburne,Sherburne County,OP,765.3,SUB,3,1977
683,MN,Sherburne,Sherburne County,OP,900.0,SUB,10,1987
684,PA,Schuylkill,Kline Township Cogen Facility,OP,59.0,WC,7,1989
685,OH,Coshocton,Conesville,OP,161.5,BIT,10,1962
686,OH,Coshocton,Conesville,OP,841.5,BIT,6,1973
687,OH,Coshocton,Conesville,OP,443.9,BIT,11,1976
688,OH,Coshocton,Conesville,OP,443.9,BIT,6,1978
689,OH,Pickaway,Picway,OP,106.2,BIT,11,1955
690,OH,Washington,Muskingum River,OP,219.6,BIT,12,1953
691,OH,Washington,Muskingum River,OP,219.6,BIT,6,1954
692,OH,Washington,Muskingum River,OP,237.5,BIT,12,1957
693,OH,Washington,Muskingum River,OP,237.5,BIT,5,1958
694,OH,Washington,Muskingum River,OP,615.2,BIT,10,1968
695,WV,Marshall,Kammer,OP,237.5,BIT,7,1958
696,WV,Marshall,Kammer,OP,237.5,BIT,11,1958
697,WV,Marshall,Kammer,OP,237.5,BIT,3,1959
698,WV,Marshall,Mitchell,OP,816.3,BIT,5,1971
699,WV,Marshall,Mitchell,OP,816.3,BIT,5,1971
700,OH,Gallia,General James M Gavin,OP,1300.0,BIT,10,1974
701,OH,Gallia,General James M Gavin,OP,1300.0,BIT,7,1975
702,OH,Gallia,Kyger Creek,OP,217.3,BIT,2,1955
703,OH,Gallia,Kyger Creek,OP,217.3,BIT,6,1955
704,OH,Gallia,Kyger Creek,OP,217.3,BIT,9,1955
705,OH,Gallia,Kyger Creek,OP,217.3,BIT,11,1955
706,OH,Gallia,Kyger Creek,OP,217.3,BIT,12,1955
707,OK,Muskogee,Muskogee,OP,572.0,SUB,12,1977
708,OK,Muskogee,Muskogee,OP,572.0,SUB,10,1978
709,OK,Muskogee,Muskogee,OP,572.0,SUB,6,1984
710,OK,Noble,Sooner,OP,569.0,SUB,11,1979
711,OK,Noble,Sooner,OP,569.0,SUB,12,1980
712,NE,Douglas,North Omaha,OP,73.5,SUB,7,1954
713,NE,Douglas,North Omaha,OP,108.8,SUB,4,1957
714,NE,Douglas,North Omaha,OP,108.8,SUB,4,1959
715,NE,Douglas,North Omaha,OP,136.0,SUB,3,1963
716,NE,Douglas,North Omaha,OP,217.6,SUB,5,1968
717,NE,Otoe,Nebraska City,OP,651.6,SUB,4,1979
718,NE,Otoe,Nebraska City,OP,738.0,SUB,5,2009
719,OH,Lorain,Avon Lake,OP,86.0,BIT,1,1949
720,OH,Lorain,Avon Lake,OP,680.0,BIT,1,1970
721,OH,Trumbull,Niles,OP,132.8,BIT,1,1954
722,OH,Trumbull,Niles,OP,132.8,BIT,1,1954
723,PA,Washington,Elrama Power Plant,OP,100.0,BIT,4,1952
724,PA,Washington,Elrama Power Plant,OP,100.0,BIT,1,1953
725,PA,Washington,Elrama Power Plant,OP,125.0,BIT,9,1954
726,PA,Washington,Elrama Power Plant,OP,185.0,BIT,10,1960
727,PA,Lawrence,New Castle Plant,OP,98.0,BIT,9,1952
728,PA,Lawrence,New Castle Plant,OP,114.0,BIT,8,1958
729,PA,Lawrence,New Castle Plant,OP,136.0,BIT,6,1964
730,PA,Allegheny,Cheswick Power Plant,OP,637.0,BIT,6,1970
731,OH,Wayne,Orrville,OP,25.0,BIT,1,1971
732,OH,Wayne,Orrville,OP,25.0,BIT,1,1971
733,OH,Wayne,Orrville,OS,5.0,BIT,1,1949
734,OH,Wayne,Orrville,OS,7.5,BIT,1,1955
735,OH,Wayne,Orrville,OP,22.0,BIT,1,1961
736,MN,Otter Tail,Hoot Lake,OP,54.4,SUB,10,1959
737,MN,Otter Tail,Hoot Lake,OP,75.0,SUB,5,1964
738,SD,Grant,Big Stone,OP,456.0,SUB,5,1975
739,ND,Mercer,Coyote,OP,450.0,LIG,5,1981
740,KY,Daviess,Elmer Smith,OP,163.2,BIT,4,1964
741,KY,Daviess,Elmer Smith,OP,282.1,BIT,3,1974
742,PA,York,P H Glatfelter,OP,6.0,BIT,7,1948
743,PA,York,P H Glatfelter,SB,5.9,BIT,4,1975
744,PA,York,P H Glatfelter,OP,5.1,BIT,5,1948
745,PA,York,P H Glatfelter,OP,7.5,BIT,8,1962
746,PA,York,P H Glatfelter,OP,45.9,BIT,5,1989
747,UT,Carbon,Carbon,OP,75.0,BIT,11,1954
748,UT,Carbon,Carbon,OP,113.6,BIT,9,1957
749,WY,Converse,Dave Johnston,OP,113.6,SUB,2,1959
750,WY,Converse,Dave Johnston,OP,113.6,SUB,1,1961
751,WY,Converse,Dave Johnston,OP,229.5,SUB,12,1964
752,WY,Converse,Dave Johnston,OP,360.0,SUB,7,1972
753,WY,Lincoln,Naughton,OP,163.2,SUB,5,1963
754,WY,Lincoln,Naughton,OP,217.6,SUB,10,1968
755,WY,Lincoln,Naughton,OP,326.4,SUB,10,1971
756,WY,Campbell,Wyodak,OP,362.0,SUB,9,1978
757,UT,Emery,Hunter,OP,488.3,BIT,6,1978
758,UT,Emery,Hunter,OP,488.3,BIT,6,1980
759,UT,Emery,Hunter,OP,495.6,BIT,6,1983
760,WY,Sweetwater,Jim Bridger,OP,577.9,SUB,11,1974
761,WY,Sweetwater,Jim Bridger,OP,577.9,SUB,12,1975
762,WY,Sweetwater,Jim Bridger,OP,577.9,SUB,9,1976
763,WY,Sweetwater,Jim Bridger,OP,584.0,SUB,11,1979
764,UT,Emery,Huntington,OP,498.0,BIT,6,1977
765,UT,Emery,Huntington,OP,498.0,BIT,7,1974
766,WI,Lincoln,Packaging of America Tomahawk Mill,OP,6.3,BIT,6,1948
767,WI,Lincoln,Packaging of America Tomahawk Mill,OP,9.4,BIT,8,1978
768,OH,Lake,Painesville,SB,7.5,BIT,1,1953
769,OH,Lake,Painesville,OP,16.5,BIT,1,1965
770,OH,Lake,Painesville,OP,22.0,BIT,2,1990
771,OH,Lake,Painesville,SB,7.5,BIT,1,1949
772,PA,Carbon,Panther Creek Energy Facility,OP,94.0,WC,7,1992
773,VA,Chesterfield,Park 500 Philip Morris USA,SB,6.1,BIT,4,1984
774,VA,Chesterfield,Park 500 Philip Morris USA,OP,13.0,BIT,9,1983
775,FL,Orange,Stanton Energy Center,OP,464.5,BIT,7,1987
776,FL,Orange,Stanton Energy Center,OP,464.5,BIT,6,1996
777,IA,Marion,Pella,OP,11.5,SUB,5,1964
778,IA,Marion,Pella,OP,26.5,SUB,7,1972
779,VA,Chesapeake,Oilseed Plant,OS,1.7,BIT,5,1985
780,IN,Miami,Peru,OP,22.0,BIT,2,1959
781,IN,Miami,Peru,OP,12.5,BIT,6,1949
782,NJ,Gloucester,Logan Generating Company LP,OP,242.3,BIT,9,1994
783,NJ,Salem,Chambers Cogeneration LP,OP,285.0,BIT,3,1994
784,PA,Northampton,Northampton Generating Company LP,OP,114.1,WC,8,1995
785,PA,Venango,Scrubgrass Generating Company LP,OP,94.7,WC,6,1993
786,FL,Martin,Indiantown Cogeneration LP,OP,395.4,BIT,12,1995
787,CO,Larimer,Rawhide,OP,293.6,SUB,4,1984
788,NJ,Hudson,PSEG Hudson Generating Station,OP,659.7,BIT,12,1968
789,NJ,Mercer,PSEG Mercer Generating Station,OP,326.4,BIT,12,1960
790,NJ,Mercer,PSEG Mercer Generating Station,OP,326.4,BIT,6,1961
791,OR,Morrow,Boardman,OP,601.0,SUB,8,1980
792,MT,Yellowstone,J E Corette Plant,OP,172.8,SUB,6,1968
793,MT,Rosebud,Colstrip,OP,358.0,SUB,11,1975
794,MT,Rosebud,Colstrip,OP,358.0,SUB,8,1976
795,MT,Rosebud,Colstrip,OP,778.0,SUB,1,1984
796,MT,Rosebud,Colstrip,OP,778.0,SUB,4,1986
