,State,County,Plant Name,Status,Nameplate Capacity (MW),Primary Energy Source,Initial Month of Operation,Initial Year of Operation
87,IA,Linn,Archer Daniels Midland Cedar Rapids,OP,31.0,SUB,11,1988
88,IA,Linn,Archer Daniels Midland Cedar Rapids,OP,31.0,SUB,11,1988
89,IA,Linn,Archer Daniels Midland Cedar Rapids,OP,31.0,SUB,2,1995
90,IA,Linn,Archer Daniels Midland Cedar Rapids,OP,101.1,SUB,11,2000
91,IL,Macon,Archer Daniels Midland Decatur,OP,31.0,BIT,4,1987
92,IL,Macon,Archer Daniels Midland Decatur,OP,31.0,BIT,4,1987
93,IL,Macon,Archer Daniels Midland Decatur,OP,31.0,BIT,5,1987
94,IL,Macon,Archer Daniels Midland Decatur,OP,31.0,BIT,12,1987
95,IL,Macon,Archer Daniels Midland Decatur,OP,31.0,BIT,9,1994
96,IL,Macon,Archer Daniels Midland Decatur,OP,75.0,BIT,4,1997
97,IL,Macon,Archer Daniels Midland Decatur,OP,105.0,BIT,4,2005
98,IL,Peoria,Archer Daniels Midland Peoria,OP,1.5,BIT,1,1934
99,IL,Peoria,Archer Daniels Midland Peoria,OP,1.5,BIT,1,1934
100,IL,Peoria,Archer Daniels Midland Peoria,OP,4.0,BIT,1,1954
101,IL,Peoria,Archer Daniels Midland Peoria,OP,4.0,BIT,1,1985
102,IL,Peoria,Archer Daniels Midland Peoria,OP,4.0,BIT,1,1985
103,ND,Pembina,Walhalla,SB,2.0,SUB,12,2000
104,NE,PLATTE,Archer Daniels Midland Columbus,OP,71.4,SUB,5,2010
105,AZ,Cochise,Apache Station,OP,204.0,SUB,1,1979
106,AZ,Cochise,Apache Station,OP,204.0,SUB,9,1979
107,AZ,Navajo,Cholla,OP,113.6,BIT,5,1962
108,AZ,Navajo,Cholla,OP,288.9,BIT,6,1978
109,AZ,Navajo,Cholla,OP,312.3,BIT,5,1980
110,AZ,Navajo,Cholla,OP,414.0,BIT,6,1981
111,NM,San Juan,Four Corners,OP,190.0,BIT,5,1963
112,NM,San Juan,Four Corners,OP,190.0,BIT,6,1963
113,NM,San Juan,Four Corners,OP,253.4,BIT,8,1964
114,NM,San Juan,Four Corners,OP,818.1,BIT,7,1969
115,NM,San Juan,Four Corners,OP,818.1,BIT,7,1970
116,AR,Jefferson,White Bluff,OP,850.0,SUB,8,1980
117,AR,Jefferson,White Bluff,OP,850.0,SUB,8,1981
118,AR,Independence,Independence,OP,850.0,SUB,1,1983
119,AR,Independence,Independence,OP,850.0,SUB,12,1984
120,MO,New Madrid,New Madrid,OP,600.0,SUB,12,1972
121,MO,New Madrid,New Madrid,OP,600.0,SUB,6,1977
122,MO,Randolph,Thomas Hill,OP,180.0,SUB,11,1966
123,MO,Randolph,Thomas Hill,OP,285.0,SUB,3,1969
124,MO,Randolph,Thomas Hill,OP,670.0,SUB,6,1982
125,AK,Fairbanks North Star,Aurora Energy LLC Chena,OP,5.0,SUB,6,1952
126,AK,Fairbanks North Star,Aurora Energy LLC Chena,OP,2.5,SUB,6,1952
127,AK,Fairbanks North Star,Aurora Energy LLC Chena,OP,20.0,SUB,6,1975
128,MN,MOWER,Austin Northeast,OP,31.9,BIT,4,1971
