,PLANT_NAME,ONLINE_MW,FACILITY,PRIMARY_FUEL,TECHNOLOGY,STATUS,location,lat,lon
1208,"FORAS ENERGY, INC. - 6053",11.72,WIND,WIND,WIND TURBINE,OPERATIONAL,NORTH PALM SPRINGS+CA,33.9227924,-116.5430685
1209,"SAN GORGONIO WESTWINDS II, LLC",43.0,WIND,WIND,WIND TURBINE,OPERATIONAL,NORTH PALM SPRINGS+CA,33.9227924,-116.5430685
1210,KAREN AVENUE WIND PROJECT,11.7,WIND,WIND,WIND TURBINE,OPERATIONAL,NORTH PALM SPRINGS+CA,33.9227924,-116.5430685
1211,NAWP INC. - 6087,35.0,WIND,WIND,WIND TURBINE,OPERATIONAL,NORTH PALM SPRINGS+CA,33.9227924,-116.5430685
1212,TRES VAQUEROS,28.8,WIND,WIND,WIND TURBINE,OPERATIONAL,LIVERMORE+CA,37.6818745,-121.7680088
1213,MUNICIPAL COGEN,1.3,OIL/GAS,NATURAL GAS,GAS TURBINE,OPERATIONAL,PALM SPRINGS+CA,33.8302961,-116.5452921
1214,CITY OF PALM SPRINGS - SUNRISE PLAZA,0.64,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,PALM SPRINGS+CA,33.8302961,-116.5452921
1215,EUA/FRCII - MONTEREY CC,0.12,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,PALM DESERT+CA,33.7222445,-116.3744556
1216,R.J. DONOVAN CORRECTIONAL FACILITY,3.13,OIL/GAS,NATURAL GAS,GAS TURBINE,OPERATIONAL,SAN DIEGO+CA,32.715738,-117.1610838
1217,EUA/FRCII - PALM VALLEY CC,0.41,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,PALM DESERT+CA,33.7222445,-116.3744556
1218,EUA/FRCII - VINTAGE CC,0.6,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,INDIAN WELLS+CA,33.717631,-116.3407549
1219,COGENIC - ERNE SANITARIUM,0.1,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,INGLEWOOD+CA,33.9616801,-118.3531311
1220,DECOGEN,0.5,OIL/GAS,NATURAL GAS,NATURAL GAS,OPERATIONAL,EL SEGUNDO+CA,33.9191799,-118.4164652
1221,BENTLEY MILLS,0.8,OIL/GAS,NATURAL GAS,PHOTOVOLTAIC,OPERATIONAL,INDUSTRY+CA,34.0197335,-117.9586754
1222,COTIJA CHEESE,0.12,OIL/GAS,NATURAL GAS,COMBINED CYCLE,OPERATIONAL,LA PUENTE+CA,34.0200114,-117.9495083
1223,SOUTHERN CALIFORNIA GAS - SCAQMD,0.2,OIL/GAS,NATURAL GAS,"FUEL CELL, WASTEHEAT RECOVERY",OPERATIONAL,DIAMOND BAR+CA,34.0286226,-117.8103367
1224,COLDGEN -  SUNLAW COGEN 2,56.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE/TOPPING CYCLE,OPERATIONAL,VERNON+CA,34.003903,-118.230073
1225,COLDGEN - SUNLAW COGEN 1,56.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE/TOPPING CYCLE,OPERATIONAL,VERNON+CA,34.003903,-118.230073
1226,TOYON,3.76,WTE,MSW,RECIPROCATING ENGINE,OPERATIONAL,LOS ANGELES+CA,34.0522342,-118.2436849
1227,JEFFERSON SMURFIT CORP.,40.0,OIL/GAS,NATURAL GAS,COMBUSTION TURBINE/TOPPING CYCLE,OPERATIONAL,VERNON+CA,34.003903,-118.230073
1228,LA CANADA USD - LA CANADA SCHOOL,0.12,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,LA CANADA+CA,34.2068182,-118.2000277
1229,AZUSA,2.5,HYDROELECTRIC,WATER,HYDRO,OPERATIONAL,AZUSA+CA,34.1336186,-117.9075627
1230,THE EPISCOPAL HOME,0.2,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,ALHAMBRA+CA,34.095287,-118.1270146
1231,SOUTHERN CALIFORNIA GAS,0.55,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,MONTEREY PARK+CA,34.0625106,-118.1228476
1232,"PUENTE HILLS RECOVERY, PHASE 1",52.8,WTE,LANDFILL GAS,STEAM TURBINE,OPERATIONAL,WHITTIER+CA,33.9791793,-118.032844
1233,"PUENTE HILLS RECOVERY, PHASE II",8.1,WTE,LANDFILL GAS,STEAM TURBINE,OPERATIONAL,WHITTIER+CA,33.9791793,-118.032844
1234,COMMERCE REFUSE TO ENERGY,11.5,WTE,MSW,STEAM TURBINE,OPERATIONAL,COMMERCE+CA,34.0005691,-118.1597929
1235,GREAT WESTERN MALTING CO.,0.75,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,COMMERCE+CA,34.0005691,-118.1597929
1236,N.P. COGEN  INC.,24.7,OIL/GAS,NATURAL GAS,COMBINED CYCLE/TOPPING CYCLE,OPERATIONAL,LOS ANGELES+CA,34.0522342,-118.2436849
1237,MICRO UTILITY - QUAKER,0.1,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,WHITTIER+CA,33.9791793,-118.032844
1238,PRESBYTERIAN INTERCOMMUNITY HOSP.,0.48,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,WHITTIER+CA,33.9791793,-118.032844
1239,QUAKER CITY PLATING,0.1,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,WHITTIER+CA,33.9791793,-118.032844
1240,METAL SURFACES,0.35,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,BELL GARDENS+CA,33.9652918,-118.1514588
1241,WHITTIER UHSD - LA SERNA HS,0.1,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,WHITTIER+CA,33.9791793,-118.032844
1242,THE FORUM #1,0.12,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,INGLEWOOD+CA,33.9616801,-118.3531311
1243,MICRO UTILITY - FOSS PLATING,0.1,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,SANTA FE SPRINGS+CA,33.9472359,-118.0853451
1244,NORWALK ENERGY,27.9,OIL/GAS,NATURAL GAS,GAS TURBINE,OPERATIONAL,NORWALK+CA,33.9022367,-118.081733
1245,LUNDY - THAGARD OIL,1.4,OIL/GAS,NATURAL GAS,COMBINED CYCLE/TOPPING CYCLE,OPERATIONAL,SOUTH GATE+CA,33.954737,-118.2120161
1246,CERRITOS COLLEGE,0.15,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,CERRITOS+CA,33.8583483,-118.0647871
1247,VANGUARD - ELECTRONIC PLATING,0.1,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,GARDENA+CA,33.8883487,-118.3089624
1248,BIOLA UNIVERSITY,2.2,OIL/GAS,NATURAL GAS,GAS TURBINE,OPERATIONAL,LA MIRADA+CA,33.9172357,-118.0120086
1249,AMERICAN CORNERSTONE - HOLIDAY INN,0.15,OIL/GAS,NATURAL GAS,GAS FUELED RECIPROCATING ENGINE,OPERATIONAL,FULLERTON+CA,33.8703596,-117.9242966
1250,CARSON COGEN CO.,49.5,OIL/GAS,NATURAL GAS,"GAS TURBINE, STEAM TURBINE",OPERATIONAL,CARSON+CA,33.8316745,-118.281693
